SBWM-1			
4			
x			
y			
z			
64 inch			
x UTM	y UTM	z	64 inch
5128.45	6931.41	-20.42158056	51.1103
5128.45	6931.41	-20.42158056	51.1103
5128.45	6931.41	-19.74477216	37.3303
5128.45	6931.41	-19.74477216	37.3303
5128.45	6931.41	-19.4063832	53.4068
5128.45	6931.41	-19.06796376	58.8566
5128.45	6931.41	-18.72954432	63.489
5128.45	6931.41	-17.03750808	70.0295
5128.45	6931.41	-16.02231072	80.6569
5128.45	6931.41	-14.66866344	85.0174
5128.45	6931.41	-13.99185504	87.1976
5128.45	6931.41	-12.63823824	84.2012
5128.45	6931.41	-11.6230104	76.5724
5128.45	6931.41	-10.946202	72.2131
5128.45	6931.41	-10.60778256	67.0362
5128.45	6931.41	-10.26936312	58.5896
5128.45	6931.41	-10.26936312	58.5896
5128.45	6931.41	-9.59255472	48.7807
5128.45	6931.41	-8.91574632	44.4215
5128.45	6931.41	-6.54690168	35.9761
5128.45	6931.41	-3.5013096	31.3458
5128.45	6931.41	-2.1476928	27.5319
5128.45	6931.41	-1.132404	22.3554
5128.45	6931.41	-0.4554432	18.2686
5128.45	6931.41	0.8981736	15.2722
5128.45	6931.41	1.9131576	11.4581
5128.45	6931.41	2.5901184	99.4694
5128.45	6931.41	3.2667744	93.7478
5128.45	6931.41	3.6054072	89.9333
5128.45	6931.41	3.9437352	85.8463
5128.45	6931.41	4.959024	79.3074
5128.45	6931.41	5.63568	69.4986
5128.45	6931.41	6.3126408	64.8668
5128.45	6931.41	7.3279296	58.0555
5128.45	6931.41	9.0198744	52.8794
5128.45	6931.41	9.6965304	47.4302
5128.45	6931.41	11.38878	41.4367
5128.45	6931.41	12.7423968	34.898
5128.45	6931.41	14.4343416	29.722
5128.45	6931.41	15.7879584	26.7255
5128.45	6931.41	17.1415752	22.0942
5128.45	6931.41	20.1874416	19.0988
5128.45	6931.41	23.5713312	16.1036
5128.45	6931.41	27.9705096	13.1091
5128.45	6931.41	31.693032	10.659
5128.45	6931.41	36.0925152	9.57184
5128.45	6931.41	40.4916936	8.48463
5128.45	6931.41	45.9061608	8.21549
5128.45	6931.41	49.2903552	7.12766
5128.45	6931.41	53.3512056	5.76776
5128.45	6931.41	60.4576176	4.68223
5128.45	6931.41	64.18014	4.68452
5128.45	6931.41	68.5796232	5.77715
5128.45	6931.41	70.9485288	5.50613
5128.45	6931.41	74.6707464	5.78091
5128.45	6931.41	78.3932688	6.87312
5128.45	6931.41	83.807736	7.14894
5128.45	6931.41	85.8383136	7.96763
5128.45	6931.41	89.560836	6.33505
5128.45	6931.41	94.2986472	6.33797
5128.45	6931.41	97.3442088	6.33984
5128.45	6931.41	99.7131144	7.97618
5128.45	6931.41	100.7280984	9.88416
