SBWM-1			
4			
x			
y			
z			
gamma			
x UTM	y UTM	z	gamma
5128.45	6931.41	-20.48921568	32.7871
5128.45	6931.41	-20.0969076	35.4103
5128.45	6931.41	-18.901482	38.6899
5128.45	6931.41	-18.10628928	41.3134
5128.45	6931.41	-15.69428496	42.6267
5128.45	6931.41	-12.47785248	44.2684
5128.45	6931.41	-8.04883416	44.9275
5128.45	6931.41	-6.4452204	46.8959
5128.45	6931.41	-4.4400936	49.1924
5128.45	6931.41	-2.4284136	49.8497
5128.45	6931.41	-0.8090112	47.8837
5128.45	6931.41	2.019228	45.9185
5128.45	6931.41	5.2370016	47.2324
5128.45	6931.41	6.8378112	49.8565
5128.45	6931.41	7.6622952	45.267
5128.45	6931.41	8.8799712	42.9728
5128.45	6931.41	10.0991712	40.3508
5128.45	6931.41	11.3159328	38.3845
5128.45	6931.41	13.3340136	37.4023
5128.45	6931.41	14.5376688	38.7147
5128.45	6931.41	16.5651984	35.4375
5128.45	6931.41	18.9901872	33.4721
5128.45	6931.41	21.4127376	32.1624
5128.45	6931.41	22.2238104	30.8516
5128.45	6931.41	25.4376216	33.149
5128.45	6931.41	27.0439176	34.4617
5128.45	6931.41	29.864232	34.4638
5128.45	6931.41	36.3089232	34.7964
5128.45	6931.41	38.3154216	36.7651
5128.45	6931.41	40.320396	39.0617
5128.45	6931.41	43.1498544	36.7687
5128.45	6931.41	45.575148	34.8033
5128.45	6931.41	47.9897736	35.4608
5128.45	6931.41	50.3964744	38.0856
5128.45	6931.41	52.4081544	38.7428
5128.45	6931.41	55.2245064	39.7285
5128.45	6931.41	56.8384224	39.074
5128.45	6931.41	59.6547744	40.0597
5128.45	6931.41	61.2622896	41.0445
5128.45	6931.41	64.0890048	39.4072
5128.45	6931.41	65.2950984	40.0638
5128.45	6931.41	66.489	43.6713
5128.45	6931.41	67.6804632	47.9345
5128.45	6931.41	68.0437848	57.7708
5128.45	6931.41	68.4269184	62.6891
5128.45	6931.41	68.4677616	52.5252
5128.45	6931.41	69.6156384	67.608
5128.45	6931.41	71.2152288	70.56
5128.45	6931.41	73.6261968	72.2012
5128.45	6931.41	76.0328976	74.8259
5128.45	6931.41	77.6523	72.8599
5128.45	6931.41	80.4750528	72.2062
5128.45	6931.41	82.0892736	71.5517
5128.45	6931.41	83.3069496	69.2575
5128.45	6931.41	86.5381344	67.2927
5128.45	6931.41	88.9500168	68.606
5128.45	6931.41	91.3618992	69.9192
5128.45	6931.41	93.7938984	66.3145
5128.45	6931.41	95.0012112	66.6433
5128.45	6931.41	95.8186848	63.693
5128.45	6931.41	97.0339224	62.0546
5128.45	6931.41	100.2611448	61.0734
5128.45	6931.41	101.4629712	62.7136
5128.45	6931.41	102.2581944	65.3372
5128.45	6931.41	103.4575824	67.6331
5128.45	6931.41	104.256768	69.2731
5128.45	6931.41	106.6845	66.6519
5128.45	6931.41	109.5087768	65.6704
5128.45	6931.41	110.7279768	63.0484
5128.45	6931.41	112.7542872	60.099
5128.45	6931.41	113.9734872	57.477
5128.45	6931.41	117.6152376	53.5453
5128.45	6931.41	119.2386024	50.5957
5128.45	6931.41	120.4578024	47.9736
5128.45	6931.41	122.0759856	46.3355
5128.45	6931.41	125.2989408	46.3379
5128.45	6931.41	127.3002576	49.618
5128.45	6931.41	128.5154952	47.9796
5128.45	6931.41	130.137336	45.3578
5128.45	6931.41	131.7582624	43.064
5128.45	6931.41	132.5693352	41.7531
5128.45	6931.41	134.5520592	49.6234
5128.45	6931.41	134.5679088	45.689
5128.45	6931.41	135.321984	58.4764
5128.45	6931.41	135.3445392	52.9027
5128.45	6931.41	135.7102992	62.0833
5128.45	6931.41	137.306232	66.0189
5128.45	6931.41	138.098712	69.2982
5128.45	6931.41	140.1353856	63.7259
5128.45	6931.41	140.1527592	59.4636
5128.45	6931.41	140.576736	54.218
5128.45	6931.41	141.4048776	48.6449
5128.45	6931.41	141.417984	45.3662
5128.45	6931.41	143.8460208	42.7451
5128.45	6931.41	147.0701952	42.4196
5128.45	6931.41	150.2919312	42.7498
5128.45	6931.41	153.10554	44.3913
5128.45	6931.41	155.1211824	44.0649
5128.45	6931.41	157.95186	41.4441
5128.45	6931.41	160.3731912	40.4622
5128.45	6931.41	164.395332	42.1046
5128.45	6931.41	167.2220472	40.4673
5128.45	6931.41	169.2379944	40.141
