SBWM-1			
4			
x			
y			
z			
induction			
x UTM	y UTM	z	induction
5128.45	6931.41	-34.10284555	11848.7
5128.45	6931.41	-34.07904067	11094
5128.45	6931.41	-33.62677234	8754.33
5128.45	6931.41	-33.58392355	7395.83
5128.45	6931.41	-33.28637779	9961.82
5128.45	6931.41	-33.16259851	6037.27
5128.45	6931.41	-32.37233136	4980.53
5128.45	6931.41	-31.9557612	3772.92
5128.45	6931.41	-31.15593552	2414.29
5128.45	6931.41	-31.13453856	1735.05
5128.45	6931.41	-29.79677136	7319.73
5128.45	6931.41	-29.75867136	6112.18
5128.45	6931.41	-29.70868416	4527.26
5128.45	6931.41	-29.66820672	3244.24
5128.45	6931.41	-29.0921652	8979.99
5128.45	6931.41	-28.37091696	10111.9
5128.45	6931.41	-28.0352712	11470.4
5128.45	6931.41	-25.77392952	11771.9
5128.45	6931.41	-22.36763712	11771.3
5128.45	6931.41	-22.26763224	8601.51
5128.45	6931.41	-21.9534444	10639.2
5128.45	6931.41	-21.79156512	5507.09
5128.45	6931.41	-21.69159072	2337.26
5128.45	6931.41	-21.64873584	978.763
5128.45	6931.41	-21.47259192	7393.83
5128.45	6931.41	-20.98701504	3997.52
5128.45	6931.41	-20.8656132	148.445
5128.45	6931.41	-15.56215416	-3.37375
5128.45	6931.41	-10.26345	-4.24843
5128.45	6931.41	-7.24751496	372.612
5128.45	6931.41	-3.0843432	371.925
5128.45	6931.41	0.32454	295.891
5128.45	6931.41	1.8265944	673.001
5128.45	6931.41	4.040052	2483.96
5128.45	6931.41	4.0662648	1653.76
5128.45	6931.41	4.3759416	3842.39
5128.45	6931.41	7.7893968	3615.41
5128.45	6931.41	10.419516	4218.75
5128.45	6931.41	13.4403888	4444.67
5128.45	6931.41	16.4396208	5349.83
5128.45	6931.41	19.0676064	6028.65
5128.45	6931.41	22.835544	6556.33
5128.45	6931.41	26.2346736	6782.18
5128.45	6931.41	29.2436592	7385.46
5128.45	6931.41	30.7551624	7460.68
5128.45	6931.41	32.621148	8290.56
5128.45	6931.41	34.4898768	9044.97
5128.45	6931.41	35.2207872	9875.04
5128.45	6931.41	36.7225368	10252.1
5128.45	6931.41	36.751188	9346.48
5128.45	6931.41	37.843896	10704.8
5128.45	6931.41	40.1576328	9345.92
5128.45	6931.41	40.5858768	7760.94
5128.45	6931.41	41.385672	6402.32
5128.45	6931.41	41.4192	5345.71
5128.45	6931.41	44.4614088	4892.38
5128.45	6931.41	46.3511688	4967.54
5128.45	6931.41	46.689192	6250.5
5128.45	6931.41	47.4246744	6929.62
5128.45	6931.41	49.302852	7382.15
5128.45	6931.41	50.8286808	7004.53
5128.45	6931.41	52.763856	5645.72
5128.45	6931.41	53.1735072	4664.53
5128.45	6931.41	53.9516616	3985.15
5128.45	6931.41	55.0443696	5343.46
5128.45	6931.41	55.39428	6249.06
5128.45	6931.41	56.5058856	7003.6
5128.45	6931.41	58.3840632	7456.12
5128.45	6931.41	60.6310488	8210.46
5128.45	6931.41	62.1523056	7983.8
5128.45	6931.41	64.4136168	8285.31
5128.45	6931.41	67.8413976	7605.5
5128.45	6931.41	69.3931344	6397.7
5128.45	6931.41	70.9381656	5416.31
5128.45	6931.41	72.4804536	4510.39
5128.45	6931.41	74.0135976	3906.37
5128.45	6931.41	77.0460528	3754.92
5128.45	6931.41	78.1936248	3377.38
5128.45	6931.41	78.5980944	2547.12
5128.45	6931.41	79.3646664	2245.11
5128.45	6931.41	80.8569672	2924.11
5128.45	6931.41	82.3590216	3301.22
5128.45	6931.41	83.5087272	2848.2
5128.45	6931.41	84.2871864	2168.82
5128.45	6931.41	85.4344536	1791.28
5128.45	6931.41	87.3245184	1866.43
5128.45	6931.41	88.4336856	2696.44
5128.45	6931.41	90.3191784	2922.54
5128.45	6931.41	91.0927608	2394.11
5128.45	6931.41	93.3589488	2544.68
5128.45	6931.41	95.6178216	2921.67
5128.45	6931.41	98.2622664	3072.18
5128.45	6931.41	99.0358488	2543.75
5128.45	6931.41	100.2023184	1562.42
5128.45	6931.41	102.1091472	1109.28
5128.45	6931.41	104.0110992	807.077
5128.45	6931.41	106.6674312	580.223
5128.45	6931.41	107.405352	1183.87
5128.45	6931.41	111.2043792	730.417
5128.45	6931.41	113.0874336	1031.99
5128.45	6931.41	115.3749576	503.314
5128.45	6931.41	117.6387072	729.355
5128.45	6931.41	119.5452312	276.21
5128.45	6931.41	121.435296	351.37
5128.45	6931.41	126.7171752	878.8
5128.45	6931.41	129.3832608	350.058
5128.45	6931.41	130.8758664	1029.06
5128.45	6931.41	133.160952	575.85
5128.45	6931.41	135.4295784	650.947
5128.45	6931.41	138.0859104	424.093
5128.45	6931.41	141.1089168	574.538
5128.45	6931.41	144.1297896	800.454
5128.45	6931.41	146.7766728	875.489
5128.45	6931.41	148.6810632	497.816
5128.45	6931.41	151.3066104	1252.1
5128.45	6931.41	152.7608112	3138.65
5128.45	6931.41	152.7919008	2157.51
5128.45	6931.41	154.6200912	4194.95
5128.45	6931.41	157.2526488	4722.82
5128.45	6931.41	160.2375552	6080.81
5128.45	6931.41	162.9179664	5099.24
5128.45	6931.41	164.7674928	6457.42
5128.45	6931.41	167.4262632	6155.1
5128.45	6931.41	169.7211024	5400
5128.45	6931.41	171.6562776	4041.19
5128.45	6931.41	171.6873672	3060.06
5128.45	6931.41	173.2320936	2078.67
5128.45	6931.41	175.1389224	1625.52
5128.45	6931.41	177.8025696	1172.25
5128.45	6931.41	179.2973088	1775.78
5128.45	6931.41	181.5491712	2379.18
5128.45	6931.41	182.2846536	3058.31
5128.45	6931.41	183.4581336	1850.57
5128.45	6931.41	185.3768496	1020.06
5128.45	6931.41	188.399856	1170.5
5128.45	6931.41	190.301808	868.304
5128.45	6931.41	193.3318248	792.332
5128.45	6931.41	195.974136	1018.31
5128.45	6931.41	198.26166	489.631
5128.45	6931.41	200.5159608	1017.56
5128.45	6931.41	202.7629464	1771.91
5128.45	6931.41	205.0148088	2375.31
5128.45	6931.41	206.9356584	1469.33
5128.45	6931.41	208.8211512	1695.44
5128.45	6931.41	210.7087776	1846.07
5128.45	6931.41	212.1965064	2676.01
5128.45	6931.41	212.9700888	2147.58
5128.45	6931.41	214.5172536	1090.72
5128.45	6931.41	217.5545856	788.333
5128.45	6931.41	219.827784	712.487
5128.45	6931.41	220.9750512	334.939
5128.45	6931.41	224.0053728	258.967
5128.45	6931.41	227.402064	560.293
5128.45	6931.41	231.1870704	559.668
5128.45	6931.41	234.2076384	785.584
5128.45	6931.41	237.9853296	1011.38
5128.45	6931.41	240.6441	709.05
5128.45	6931.41	242.910288	859.62
5128.45	6931.41	245.1572736	1613.97
5128.45	6931.41	246.654756	2142.02
5128.45	6931.41	247.8163488	1311.64
5128.45	6931.41	250.8582528	858.308
5128.45	6931.41	256.9259064	479.948
5128.45	6931.41	260.7084744	554.795
5128.45	6931.41	267.9041928	402.664
5128.45	6931.41	271.305456	553.045
5128.45	6931.41	272.80812	930.156
5128.45	6931.41	275.057544	1609.03
5128.45	6931.41	276.17616	2137.15
5128.45	6931.41	276.956448	1382.3
5128.45	6931.41	279.242448	929.094
5128.45	6931.41	280.01664	400.664
5128.45	6931.41	283.421256	400.102
5128.45	6931.41	284.90868	1230.05
5128.45	6931.41	285.646296	1909.17
5128.45	6931.41	286.764912	2437.29
5128.45	6931.41	288.270624	2663.45
5128.45	6931.41	291.29424	2813.9
5128.45	6931.41	294.689712	3115.22
5128.45	6931.41	296.954376	3341.26
5128.45	6931.41	298.47228	3190.07
5128.45	6931.41	301.882992	3114.04
5128.45	6931.41	303.035136	2510.07
5128.45	6931.41	303.82152	1604.28
5128.45	6931.41	304.982808	773.901
5128.45	6931.41	307.268808	320.694
5128.45	6931.41	309.533472	471.263
5128.45	6931.41	311.813376	169
5128.45	6931.41	314.465136	93.0906
5128.45	6931.41	317.47656	620.895
5128.45	6931.41	320.140512	167.626
5128.45	6931.41	323.54208	393.479
5128.45	6931.41	326.562648	619.396
5128.45	6931.41	329.97336	392.417
5128.45	6931.41	333.381024	391.855
5128.45	6931.41	336.41988	89.4669
5128.45	6931.41	340.571256	390.668
5128.45	6931.41	344.353824	465.515
5128.45	6931.41	348.514344	540.3
5128.45	6931.41	351.544056	539.8
5128.45	6931.41	353.436864	464.016
5128.45	6931.41	355.704576	614.585
5128.45	6931.41	357.22248	463.391
5128.45	6931.41	359.871192	462.954
5128.45	6931.41	361.392144	311.76
5128.45	6931.41	362.900904	462.454
5128.45	6931.41	366.674328	763.718
5128.45	6931.41	370.834848	838.502
5128.45	6931.41	373.486608	762.593
5128.45	6931.41	378.399984	988.197
5128.45	6931.41	379.54908	610.649
5128.45	6931.41	382.194744	685.684
5128.45	6931.41	384.096696	383.483
5128.45	6931.41	387.501312	458.393
5128.45	6931.41	389.762928	759.906
5128.45	6931.41	392.417736	533.053
5128.45	6931.41	398.102256	305.699
5128.45	6931.41	401.125872	456.144
5128.45	6931.41	403.387488	757.657
5128.45	6931.41	406.048392	379.86
5128.45	6931.41	409.834008	379.235
5128.45	6931.41	415.512432	378.298
5128.45	6931.41	417.393048	679.874
5128.45	6931.41	418.493376	1811.77
5128.45	6931.41	420.3618	2566.18
