SBWM-1			
4			
x			
y			
z			
single point			
x UTM	y UTM	z	Single point
5128.45	6931.41	-8.21973552	100.008
5128.45	6931.41	-7.87247688	97.5422
5128.45	6931.41	-6.50840544	95.0773
5128.45	6931.41	-4.4739264	94.8046
5128.45	6931.41	-3.4516272	93.1614
5128.45	6931.41	-2.429328	91.5182
5128.45	6931.41	-2.0781984	87.9568
5128.45	6931.41	-1.728288	84.6693
5128.45	6931.41	-1.036392	80.5602
5128.45	6931.41	-0.3484584	77.5469
5128.45	6931.41	0.344352	73.1638
5128.45	6931.41	1.0380768	68.5067
5128.45	6931.41	1.0508784	64.6711
5128.45	6931.41	2.4233928	59.7404
5128.45	6931.41	3.4587984	54.2616
5128.45	6931.41	4.4905464	49.8787
5128.45	6931.41	5.1766512	47.4133
5128.45	6931.41	7.2194208	44.6749
5128.45	6931.41	9.268896	40.0186
5128.45	6931.41	11.9913696	36.7326
5128.45	6931.41	15.0445512	35.9126
5128.45	6931.41	17.0845776	33.9961
5128.45	6931.41	18.1068768	32.3529
5128.45	6931.41	23.5295736	32.3562
5128.45	6931.41	25.2279192	31.2614
5128.45	6931.41	28.6200384	30.4416
5128.45	6931.41	30.9907728	30.991
5128.45	6931.41	32.692776	28.8003
5128.45	6931.41	35.4134208	26.0622
5128.45	6931.41	37.4525328	24.4196
5128.45	6931.41	39.1368576	27.4344
5128.45	6931.41	42.2022312	23.0527
5128.45	6931.41	44.9070264	24.9722
5128.45	6931.41	46.9333368	27.1653
5128.45	6931.41	48.9639144	27.9884
5128.45	6931.41	50.6567736	28.5374
5128.45	6931.41	51.681816	26.0723
5128.45	6931.41	56.7640512	26.6234
5128.45	6931.41	60.822768	29.0917
5128.45	6931.41	64.209096	29.9157
5128.45	6931.41	65.9120136	27.451
5128.45	6931.41	67.2762984	24.9861
5128.45	6931.41	68.648508	20.0554
5128.45	6931.41	68.99598	17.5899
5128.45	6931.41	73.4046072	16.7707
5128.45	6931.41	76.1087928	18.9642
5128.45	6931.41	78.133884	21.4312
5128.45	6931.41	79.4783568	24.7197
5128.45	6931.41	81.5192976	22.5292
5128.45	6931.41	83.2185576	21.1603
5128.45	6931.41	83.8836312	24.9964
5128.45	6931.41	85.2335904	26.641
5128.45	6931.41	86.58294	28.5597
5128.45	6931.41	87.607068	26.3685
5128.45	6931.41	89.6489232	23.9041
5128.45	6931.41	93.3726648	25.2762
5128.45	6931.41	96.766308	23.9085
5128.45	6931.41	98.796276	25.0056
5128.45	6931.41	100.478772	28.5683
5128.45	6931.41	101.149332	30.7605
5128.45	6931.41	102.8345712	33.5013
5128.45	6931.41	105.5320512	37.6125
5128.45	6931.41	106.5561792	35.4214
5128.45	6931.41	108.5980344	32.9569
5128.45	6931.41	110.2817496	36.2456
5128.45	6931.41	111.2927712	37.8901
5128.45	6931.41	113.3263968	37.8913
5128.45	6931.41	115.6953024	38.9887
5128.45	6931.41	116.7081528	40.0852
5128.45	6931.41	118.052016	43.6477
5128.45	6931.41	120.4160448	46.1149
5128.45	6931.41	121.7586888	49.9514
5128.45	6931.41	123.4616064	47.4867
5128.45	6931.41	124.4906112	43.9257
5128.45	6931.41	124.8423504	40.0903
5128.45	6931.41	125.52876	37.6249
5128.45	6931.41	126.5501448	36.2557
5128.45	6931.41	127.8973608	38.7223
5128.45	6931.41	128.5612152	42.8323
5128.45	6931.41	129.9273288	39.8194
5128.45	6931.41	130.6170912	36.2582
5128.45	6931.41	131.9655264	38.4508
5128.45	6931.41	133.3136568	40.6435
5128.45	6931.41	135.0101736	40.0966
5128.45	6931.41	136.6957176	42.8373
5128.45	6931.41	137.364144	45.5775
5128.45	6931.41	140.7608352	43.3878
5128.45	6931.41	141.45456	38.7307
5128.45	6931.41	143.8316952	37.3623
5128.45	6931.41	145.8708072	35.7197
5128.45	6931.41	148.9063104	40.1052
5128.45	6931.41	150.6119712	36.8186
5128.45	6931.41	152.6632752	31.6144
5128.45	6931.41	156.7329648	30.795
5128.45	6931.41	160.464936	29.7014
5128.45	6931.41	162.4967328	30.2506
5128.45	6931.41	164.534016	29.156
5128.45	6931.41	166.2305328	28.6091
5128.45	6931.41	169.619604	28.6112
5128.45	6931.41	170.97444	28.886
5128.45	6931.41	173.3357256	32.1751
5128.45	6931.41	175.358988	35.1901
5128.45	6931.41	177.0509328	36.013
5128.45	6931.41	178.0613448	37.9315
5128.45	6931.41	179.7734064	32.7271
5128.45	6931.41	180.1217928	29.9875
5128.45	6931.41	181.4866872	27.2487
5128.45	6931.41	182.512644	24.5096
5128.45	6931.41	184.1963592	27.7983
5128.45	6931.41	185.1945792	33.2784
5128.45	6931.41	185.2046376	30.2647
5128.45	6931.41	185.8657488	35.1966
5128.45	6931.41	187.567752	33.0059
5128.45	6931.41	190.2801672	32.7336
5128.45	6931.41	194.3416272	34.3799
5128.45	6931.41	196.0344864	34.9289
5128.45	6931.41	198.0614064	36.848
5128.45	6931.41	200.4275688	38.7673
5128.45	6931.41	201.1127592	36.5759
5128.45	6931.41	202.4825304	32.4672
5128.45	6931.41	203.8483392	29.4543
5128.45	6931.41	205.2123192	26.9894
5128.45	6931.41	207.9137616	30.0048
5128.45	6931.41	209.9470824	30.006
5128.45	6931.41	211.9871088	28.0895
5128.45	6931.41	212.6567544	30.5557
5128.45	6931.41	213.6641184	33.296
5128.45	6931.41	216.0293664	35.4893
5128.45	6931.41	218.0636016	35.2165
5128.45	6931.41	218.7323328	37.9567
5128.45	6931.41	220.0786344	40.6972
5128.45	6931.41	221.4212784	44.5337
5128.45	6931.41	223.1077368	47.0005
5128.45	6931.41	223.7910984	45.3571
5128.45	6931.41	226.1682336	43.9887
5128.45	6931.41	228.5453688	42.6203
5128.45	6931.41	230.2492008	39.8816
5128.45	6931.41	230.5975872	37.1421
5128.45	6931.41	231.6217152	34.951
5128.45	6931.41	232.6440144	33.3078
5128.45	6931.41	234.6803832	32.4871
5128.45	6931.41	237.0453264	34.6804
5128.45	6931.41	238.7372712	35.5033
5128.45	6931.41	240.429216	36.3263
5128.45	6931.41	243.8192016	36.0544
5128.45	6931.41	244.8405864	34.6852
5128.45	6931.41	245.1898872	31.6717
5128.45	6931.41	247.2271704	30.5771
5128.45	6931.41	249.2540904	32.4961
5128.45	6931.41	250.263588	34.6886
5128.45	6931.41	252.2841072	38.5254
5128.45	6931.41	254.3073696	41.5404
5128.45	6931.41	255.6567192	43.459
5128.45	6931.41	258.0356832	41.5427
5128.45	6931.41	260.411904	40.4483
5128.45	6931.41	262.4379096	42.6413
