SBWM-2			
4			
x			
y			
z			
64 inch			
long UTM	lat UTM	z	64 inch
4638.24	6252.62	-11.54245824	0.140008
4638.24	6252.62	-10.82916528	8.75852
4638.24	6252.62	-10.82916528	8.75852
4638.24	6252.62	-10.47248832	38.9846
4638.24	6252.62	-10.11584184	44.352
4638.24	6252.62	-9.0459024	49.437
4638.24	6252.62	-5.12276064	49.297
4638.24	6252.62	-4.40946768	43.5063
4638.24	6252.62	-4.05279072	39.4104
4638.24	6252.62	-3.33949776	35.7383
4638.24	6252.62	-1.91291184	32.4901
4638.24	6252.62	1.29693696	29.2426
4638.24	6252.62	4.50678576	25.8537
4638.24	6252.62	7.3599576	20.7699
4638.24	6252.62	8.7867264	17.098
4638.24	6252.62	9.8565744	11.0249
4638.24	6252.62	13.0664232	7.07113
4638.24	6252.62	14.1362712	5.09406
4638.24	6252.62	15.56304	40.829
4638.24	6252.62	15.919656	37.298
4638.24	6252.62	18.059352	29.9541
4638.24	6252.62	20.1993528	25.2937
4638.24	6252.62	21.6261216	22.1868
4638.24	6252.62	24.1224336	18.939
4638.24	6252.62	27.6888984	15.4091
4638.24	6252.62	30.8987472	12.444
4638.24	6252.62	36.2485968	10.4683
4638.24	6252.62	41.5984464	8.91627
4638.24	6252.62	48.018144	8.6358
4638.24	6252.62	50.8713768	8.77795
4638.24	6252.62	53.0110728	8.91986
4638.24	6252.62	55.8643056	7.79082
4638.24	6252.62	60.5009232	7.50979
4638.24	6252.62	62.9972352	7.79306
4638.24	6252.62	65.493852	8.64131
4638.24	6252.62	66.9206208	11.3254
4638.24	6252.62	67.9904688	14.0093
4638.24	6252.62	69.4169328	21.0719
4638.24	6252.62	70.8437016	28.6995
4638.24	6252.62	71.5569336	18.5302
4638.24	6252.62	72.6267816	16.1294
4638.24	6252.62	75.1233984	20.085
4638.24	6252.62	76.9067832	28.8426
4638.24	6252.62	77.9766312	33.504
4638.24	6252.62	78.3332472	40.425
4638.24	6252.62	79.4034	41.6965
4638.24	6252.62	80.473248	36.6121
4638.24	6252.62	81.543096	25.878
4638.24	6252.62	82.9698648	17.4039
4638.24	6252.62	83.3264808	21.6413
4638.24	6252.62	85.1095608	15.5684
4638.24	6252.62	87.9627936	19.2416
4638.24	6252.62	89.3895624	16.8409
4638.24	6252.62	92.9560272	14.8646
4638.24	6252.62	94.7391072	17.9725
4638.24	6252.62	97.948956	22.0696
4638.24	6252.62	99.3757248	25.0362
4638.24	6252.62	102.5855736	21.5061
4638.24	6252.62	103.6554216	23.2013
4638.24	6252.62	107.2218864	18.259
4638.24	6252.62	107.9354232	15.9993
4638.24	6252.62	110.0751192	8.5141
4638.24	6252.62	115.0683528	7.52697
4638.24	6252.62	118.6348176	7.95182
4638.24	6252.62	120.4178976	7.10492
4638.24	6252.62	123.9846672	11.3433
4638.24	6252.62	126.1243632	9.36661
4638.24	6252.62	131.1175968	8.80321
4638.24	6252.62	133.9708296	12.4764
4638.24	6252.62	137.8939104	11.9127
4638.24	6252.62	140.0339112	10.5009
4638.24	6252.62	142.5302232	10.078
4638.24	6252.62	143.600376	12.7619
4638.24	6252.62	143.956992	16.4344
4638.24	6252.62	146.8102248	19.9663
4638.24	6252.62	149.6634576	20.5322
4638.24	6252.62	154.6563864	23.9236
4638.24	6252.62	157.8662352	24.9133
4638.24	6252.62	158.5794672	28.3034
4638.24	6252.62	159.293004	31.6934
4638.24	6252.62	160.006236	37.3434
4638.24	6252.62	162.145932	38.7565
4638.24	6252.62	163.5727008	24.4914
4638.24	6252.62	164.2859328	33.2487
4638.24	6252.62	166.0693176	18.2775
4638.24	6252.62	166.7825496	14.0404
4638.24	6252.62	169.2791664	10.7926
4638.24	6252.62	171.7754784	12.6296
4638.24	6252.62	172.8456312	10.7937
4638.24	6252.62	174.9853272	12.7718
4638.24	6252.62	177.125328	16.4448
4638.24	6252.62	179.9785608	25.4853
4638.24	6252.62	182.4751776	24.3561
4638.24	6252.62	182.8317936	27.3223
4638.24	6252.62	184.6148736	35.3737
4638.24	6252.62	186.3982584	30.2895
4638.24	6252.62	187.8247224	38.3408
4638.24	6252.62	190.6779552	34.1044
4638.24	6252.62	192.104724	35.9411
4638.24	6252.62	192.817956	38.3424
4638.24	6252.62	193.887804	32.5518
4638.24	6252.62	195.3145728	26.62
4638.24	6252.62	197.4542688	20.1235
4638.24	6252.62	198.8810376	17.5816
4638.24	6252.62	201.7342704	22.2435
4638.24	6252.62	202.4475024	27.046
4638.24	6252.62	203.1607344	31.9897
4638.24	6252.62	203.5173504	36.5096
4638.24	6252.62	205.6573512	42.3012
4638.24	6252.62	206.3705832	46.5388
4638.24	6252.62	207.797352	43.2906
4638.24	6252.62	209.580432	37.359
4638.24	6252.62	211.7204328	35.3823
4638.24	6252.62	213.1468968	40.0437
4638.24	6252.62	216.0001296	42.587
4638.24	6252.62	216.7133616	39.7624
4638.24	6252.62	218.4967464	37.3618
4638.24	6252.62	222.4198272	44.4252
4638.24	6252.62	222.7764432	38.7756
4638.24	6252.62	224.203212	49.6517
4638.24	6252.62	229.9096776	49.5123
4638.24	6252.62	230.9795256	38.0719
4638.24	6252.62	231.3361416	43.863
4638.24	6252.62	232.7626056	33.9764
4638.24	6252.62	233.1195264	27.1969
4638.24	6252.62	234.9026064	21.9715
4638.24	6252.62	235.6158384	17.0282
4638.24	6252.62	238.1124552	16.0403
4638.24	6252.62	238.8256872	19.1478
4638.24	6252.62	239.539224	29.6001
4638.24	6252.62	239.89584	25.7866
4638.24	6252.62	240.609072	42.171
4638.24	6252.62	240.965688	46.6909
4638.24	6252.62	241.322304	49.9396
4638.24	6252.62	245.2453848	49.6583
4638.24	6252.62	245.6020008	44.2912
4638.24	6252.62	245.9589216	37.7942
4638.24	6252.62	246.3155376	34.2632
4638.24	6252.62	247.0287696	20.7041
4638.24	6252.62	247.7420016	14.3484
4638.24	6252.62	249.1687704	11.524
4638.24	6252.62	251.6650824	9.68861
4638.24	6252.62	257.014932	9.12533
4638.24	6252.62	263.0780136	9.26848
4638.24	6252.62	265.5746304	10.6817
4638.24	6252.62	265.9312464	13.0829
4638.24	6252.62	267.7143264	24.8067
4638.24	6252.62	268.0709424	19.0158
4638.24	6252.62	269.1410952	30.1743
4638.24	6252.62	270.5675592	32.8584
4638.24	6252.62	272.350944	33.9889
4638.24	6252.62	272.70756	29.4692
4638.24	6252.62	274.49064	36.2495
4638.24	6252.62	274.8475608	42.6055
4638.24	6252.62	276.2740248	50.2331
4638.24	6252.62	279.4838736	48.3979
4638.24	6252.62	282.336192	50.235
4638.24	6252.62	284.475888	49.1057
4638.24	6252.62	287.685432	46.2819
4638.24	6252.62	288.042048	44.0221
4638.24	6252.62	289.114944	41.6213
4638.24	6252.62	290.898024	42.4693
4638.24	6252.62	291.611256	34.9837
4638.24	6252.62	293.03772	36.5378
4638.24	6252.62	296.247264	33.2902
4638.24	6252.62	298.030344	30.7484
4638.24	6252.62	300.526656	33.1503
4638.24	6252.62	301.596504	35.693
4638.24	6252.62	303.379584	38.0947
4638.24	6252.62	304.092816	29.3379
4638.24	6252.62	304.449432	32.7278
4638.24	6252.62	307.30236	29.6214
4638.24	6252.62	308.372208	27.0793
4638.24	6252.62	310.86852	28.9163
4638.24	6252.62	312.6516	26.2332
4638.24	6252.62	314.43468	24.8214
4638.24	6252.62	318.357456	28.0712
4638.24	6252.62	318.714072	24.6815
4638.24	6252.62	321.570048	27.0835
4638.24	6252.62	323.709744	24.1181
4638.24	6252.62	327.275904	26.8028
4638.24	6252.62	329.772216	23.555
