SBWM-2			
4			
x			
y			
z			
SP			
long UTM	lat UTM	z	SP
4638.24	6252.62	-9.23676816	-7.95455
4638.24	6252.62	-9.22567344	-9.51705
4638.24	6252.62	-8.49333048	-12.5
4638.24	6252.62	-6.71552352	-12.5
4638.24	6252.62	-4.20845208	-15.0568
4638.24	6252.62	-2.41750824	-16.9034
4638.24	6252.62	0.06633744	-16.1932
4638.24	6252.62	2.89466808	-13.9205
4638.24	6252.62	4.65327264	-11.2216
4638.24	6252.62	8.9019408	-8.66477
4638.24	6252.62	9.2341728	-5.39773
4638.24	6252.62	11.3482656	-2.69886
4638.24	6252.62	12.0352848	0.710227
4638.24	6252.62	13.0755672	4.40341
4638.24	6252.62	14.4898392	5.53977
4638.24	6252.62	16.6341072	3.97727
4638.24	6252.62	17.6948112	4.82955
4638.24	6252.62	18.409872	4.26136
4638.24	6252.62	19.815	6.67614
4638.24	6252.62	20.503848	9.80114
4638.24	6252.62	21.5413872	13.9205
4638.24	6252.62	23.3028264	16.1932
4638.24	6252.62	25.4303304	17.0455
4638.24	6252.62	26.519076	13.9205
4638.24	6252.62	26.5321824	12.0739
4638.24	6252.62	28.3332456	8.80682
4638.24	6252.62	29.0556216	7.24432
4638.24	6252.62	30.8231568	8.66477
4638.24	6252.62	31.1343576	14.9148
4638.24	6252.62	31.1636184	10.7955
4638.24	6252.62	31.4525688	20.1705
4638.24	6252.62	32.5404	17.1875
4638.24	6252.62	33.6303648	13.9205
4638.24	6252.62	36.4485456	17.6136
4638.24	6252.62	37.1959152	12.5
4638.24	6252.62	38.9668032	13.4943
4638.24	6252.62	39.691008	11.6477
4638.24	6252.62	42.1425144	16.9034
4638.24	6252.62	42.1565352	14.9148
4638.24	6252.62	44.2608744	19.0341
4638.24	6252.62	47.4606648	19.0341
4638.24	6252.62	48.5344752	18.0398
4638.24	6252.62	50.6497872	20.5966
4638.24	6252.62	53.1314688	21.5909
4638.24	6252.62	57.035652	22.5852
4638.24	6252.62	59.1567552	24.2898
4638.24	6252.62	62.002368	24.1477
4638.24	6252.62	64.4944128	23.7216
4638.24	6252.62	65.5569456	24.2898
4638.24	6252.62	67.7042616	22.3011
4638.24	6252.62	68.4113976	22.8693
4638.24	6252.62	69.844872	21.3068
4638.24	6252.62	74.814636	22.4432
4638.24	6252.62	74.8256088	20.8807
4638.24	6252.62	77.318568	20.3125
4638.24	6252.62	78.7499088	19.0341
4638.24	6252.62	80.535732	17.8977
4638.24	6252.62	83.3731152	18.892
4638.24	6252.62	85.5155544	17.6136
4638.24	6252.62	88.37214	15.9091
4638.24	6252.62	90.8672328	15.0568
4638.24	6252.62	91.1964168	18.75
4638.24	6252.62	93.7037016	16.1932
4638.24	6252.62	96.9077592	15.625
4638.24	6252.62	100.1157792	14.4886
4638.24	6252.62	101.1825792	14.4886
4638.24	6252.62	104.0431272	12.2159
4638.24	6252.62	107.6129448	10.2273
4638.24	6252.62	110.112	8.80682
4638.24	6252.62	111.5067648	12.642
4638.24	6252.62	111.5189568	10.9375
4638.24	6252.62	111.8764872	10.6534
4638.24	6252.62	114.703812	13.0682
4638.24	6252.62	115.435332	10.2273
4638.24	6252.62	117.226032	8.38068
4638.24	6252.62	117.8968968	14.0625
4638.24	6252.62	120.3724824	15.9091
4638.24	6252.62	121.1250336	10.0852
4638.24	6252.62	123.6030576	11.6477
4638.24	6252.62	125.0130624	13.3523
4638.24	6252.62	126.8132112	10.2273
4638.24	6252.62	128.8989576	16.9034
4638.24	6252.62	129.9444216	19.8864
4638.24	6252.62	132.8162472	16.0511
4638.24	6252.62	133.546548	13.3523
4638.24	6252.62	137.0919816	14.7727
4638.24	6252.62	138.507168	15.767
4638.24	6252.62	139.9040664	19.3182
4638.24	6252.62	142.3961112	18.892
4638.24	6252.62	143.4848568	15.767
4638.24	6252.62	148.4658984	15.3409
4638.24	6252.62	155.5841976	14.3466
4638.24	6252.62	161.2629264	15.767
4638.24	6252.62	166.2457968	15.0568
4638.24	6252.62	169.8156144	13.0682
4638.24	6252.62	175.1630256	11.0795
4638.24	6252.62	179.447904	8.52273
4638.24	6252.62	185.4914784	8.66477
4638.24	6252.62	190.8318792	7.67045
