SBWM-2			
4			
x			
y			
z			
gamma			
long UTM	lat UTM	z	gamma
4638.24	6252.62	-8.04716424	73.6544
4638.24	6252.62	-5.90865696	76.4873
4638.24	6252.62	-3.41371656	77.1955
4638.24	6252.62	-3.05728344	70.8215
4638.24	6252.62	-3.05728344	70.8215
4638.24	6252.62	-1.2751788	66.5722
4638.24	6252.62	-0.91877616	74.3626
4638.24	6252.62	-0.2059404	77.9037
4638.24	6252.62	0.86332848	83.5694
4638.24	6252.62	3.00183576	75.0708
4638.24	6252.62	4.07110464	77.1955
4638.24	6252.62	5.8531788	92.7762
4638.24	6252.62	7.635192	82.8612
4638.24	6252.62	8.7044304	77.1955
4638.24	6252.62	10.1302848	75.0708
4638.24	6252.62	11.1995232	80.7365
4638.24	6252.62	11.9124504	71.5297
4638.24	6252.62	12.9816888	64.4476
4638.24	6252.62	14.7635496	72.9462
4638.24	6252.62	16.5457152	62.3229
4638.24	6252.62	20.1100464	57.3654
4638.24	6252.62	21.892212	71.5297
4638.24	6252.62	24.0306888	101.983
4638.24	6252.62	24.7433112	89.2351
4638.24	6252.62	25.0999272	77.1955
4638.24	6252.62	26.1691656	65.864
4638.24	6252.62	27.9513312	55.949
4638.24	6252.62	29.733192	60.1983
4638.24	6252.62	30.8024304	81.4448
4638.24	6252.62	31.1590464	67.9887
4638.24	6252.62	31.5153576	112.606
4638.24	6252.62	31.5153576	112.606
4638.24	6252.62	31.8716688	123.229
4638.24	6252.62	33.6538344	103.399
4638.24	6252.62	34.0104504	115.439
4638.24	6252.62	34.3667616	95.6091
4638.24	6252.62	34.3667616	95.6091
4638.24	6252.62	35.0796888	125.354
4638.24	6252.62	35.7923112	104.816
4638.24	6252.62	36.8615496	87.8187
4638.24	6252.62	36.8615496	87.8187
4638.24	6252.62	39.3566424	70.1133
4638.24	6252.62	39.7129536	99.8584
4638.24	6252.62	40.0695696	80.7365
4638.24	6252.62	41.138808	118.98
4638.24	6252.62	41.4951192	127.479
4638.24	6252.62	42.2080464	134.561
4638.24	6252.62	44.3465232	140.227
4638.24	6252.62	46.1286888	134.561
4638.24	6252.62	46.485	129.603
4638.24	6252.62	47.1979272	118.98
4638.24	6252.62	50.4056424	127.479
4638.24	6252.62	50.7619536	124.646
4638.24	6252.62	51.831192	118.272
4638.24	6252.62	52.5441192	123.938
4638.24	6252.62	53.6133576	131.02
4638.24	6252.62	54.682596	116.856
4638.24	6252.62	56.1084504	138.102
4638.24	6252.62	56.4647616	122.521
4638.24	6252.62	58.9595496	127.479
4638.24	6252.62	61.0983312	143.059
4638.24	6252.62	65.3752848	148.725
4638.24	6252.62	65.731596	155.807
4638.24	6252.62	66.088212	128.895
4638.24	6252.62	66.088212	128.895
4638.24	6252.62	68.583	130.312
4638.24	6252.62	68.9393112	120.397
4638.24	6252.62	69.2959272	108.357
4638.24	6252.62	70.0085496	102.691
4638.24	6252.62	71.077788	95.6091
4638.24	6252.62	71.434404	101.983
4638.24	6252.62	71.7907152	117.564
4638.24	6252.62	72.8599536	122.521
4638.24	6252.62	73.929192	128.895
4638.24	6252.62	75.3550464	132.436
4638.24	6252.62	76.780596	122.521
4638.24	6252.62	78.5627616	110.482
4638.24	6252.62	78.5627616	110.482
4638.24	6252.62	79.2756888	101.275
4638.24	6252.62	82.126788	98.4419
4638.24	6252.62	82.126788	98.4419
4638.24	6252.62	82.483404	111.19
4638.24	6252.62	83.9089536	118.98
4638.24	6252.62	84.2655696	115.439
4638.24	6252.62	84.6218808	82.153
4638.24	6252.62	85.6911192	121.105
4638.24	6252.62	85.6911192	121.105
4638.24	6252.62	86.0474304	117.564
4638.24	6252.62	86.7603576	84.9858
4638.24	6252.62	88.8988344	91.3598
4638.24	6252.62	89.9680728	94.9008
4638.24	6252.62	92.1065496	89.2351
4638.24	6252.62	92.8194768	83.5694
4638.24	6252.62	94.9579536	98.4419
4638.24	6252.62	95.3145696	138.102
4638.24	6252.62	95.3145696	138.102
4638.24	6252.62	95.6708808	150.142
4638.24	6252.62	96.027192	167.139
4638.24	6252.62	97.4530464	197.592
4638.24	6252.62	97.8093576	133.853
4638.24	6252.62	98.1656688	208.924
4638.24	6252.62	99.235212	233.003
4638.24	6252.62	99.235212	233.003
4638.24	6252.62	100.3044504	135.269
4638.24	6252.62	100.3044504	135.269
4638.24	6252.62	100.6607616	119.688
4638.24	6252.62	100.6607616	119.688
4638.24	6252.62	101.0170728	148.017
4638.24	6252.62	101.3736888	90.6516
4638.24	6252.62	101.73	167.847
4638.24	6252.62	102.4429272	79.3201
4638.24	6252.62	102.7992384	74.3626
4638.24	6252.62	104.224788	78.6119
4638.24	6252.62	105.2943312	75.0708
4638.24	6252.62	107.432808	74.3626
4638.24	6252.62	109.2146688	80.0283
4638.24	6252.62	109.5712848	88.5269
4638.24	6252.62	110.284212	83.5694
4638.24	6252.62	110.9968344	77.9037
4638.24	6252.62	112.4226888	75.779
4638.24	6252.62	113.1353112	67.9887
4638.24	6252.62	114.2045496	76.4873
4638.24	6252.62	115.273788	82.153
4638.24	6252.62	116.6996424	80.7365
4638.24	6252.62	117.4125696	74.3626
4638.24	6252.62	118.8381192	74.3626
4638.24	6252.62	119.1944304	85.6941
4638.24	6252.62	119.1944304	85.6941
4638.24	6252.62	119.5510464	146.601
4638.24	6252.62	120.2636688	223.796
4638.24	6252.62	120.976596	115.439
4638.24	6252.62	121.333212	185.552
4638.24	6252.62	121.333212	185.552
4638.24	6252.62	121.6895232	205.382
4638.24	6252.62	122.0458344	190.51
4638.24	6252.62	123.1150728	161.473
4638.24	6252.62	123.4716888	148.017
4638.24	6252.62	124.8972384	142.351
4638.24	6252.62	125.2535496	115.439
4638.24	6252.62	125.2535496	115.439
4638.24	6252.62	127.0357152	101.983
4638.24	6252.62	127.7486424	95.6091
4638.24	6252.62	128.1049536	79.3201
4638.24	6252.62	129.530808	85.6941
4638.24	6252.62	131.3126688	79.3201
4638.24	6252.62	133.4514504	77.1955
4638.24	6252.62	134.877	74.3626
4638.24	6252.62	136.6591656	87.8187
4638.24	6252.62	137.371788	74.3626
4638.24	6252.62	138.7976424	72.238
4638.24	6252.62	138.7976424	72.238
4638.24	6252.62	139.5105696	99.8584
4638.24	6252.62	140.9361192	106.232
4638.24	6252.62	142.0053576	97.0255
4638.24	6252.62	143.7875232	101.275
4638.24	6252.62	145.5696888	107.649
4638.24	6252.62	145.926	84.2776
4638.24	6252.62	146.2823112	98.4419
4638.24	6252.62	146.9952384	70.1133
4638.24	6252.62	148.0644768	66.5722
4638.24	6252.62	150.2029536	73.6544
4638.24	6252.62	151.9851192	86.4023
4638.24	6252.62	153.4106688	120.397
4638.24	6252.62	154.480212	99.1501
4638.24	6252.62	154.8365232	148.725
4638.24	6252.62	155.1928344	174.929
4638.24	6252.62	155.5494504	159.348
4638.24	6252.62	157.3313112	179.178
4638.24	6252.62	158.4005496	106.941
4638.24	6252.62	158.7571656	123.938
4638.24	6252.62	159.1134768	97.7337
4638.24	6252.62	159.826404	142.351
4638.24	6252.62	160.8956424	89.9433
4638.24	6252.62	161.9648808	105.524
4638.24	6252.62	162.677808	121.105
