SBWM-2			
4			
x			
y			
z			
single point			
long UTM	lat UTM	z	single point
4638.24	6252.62	-15.4656	12.1311
4638.24	6252.62	-14.6446212	11.4754
4638.24	6252.62	-13.41313776	10.6557
4638.24	6252.62	-12.1816848	10
4638.24	6252.62	-11.77118016	33.1148
4638.24	6252.62	-11.77118016	33.1148
4638.24	6252.62	-11.77118016	33.1148
4638.24	6252.62	-11.77118016	33.1148
4638.24	6252.62	-11.77118016	33.1148
4638.24	6252.62	-11.360706	42.2951
4638.24	6252.62	-11.360706	42.2951
4638.24	6252.62	-11.360706	42.2951
4638.24	6252.62	-10.95020136	38.8525
4638.24	6252.62	-8.0767908	49.8361
4638.24	6252.62	-4.79284512	49.8361
4638.24	6252.62	-3.56139216	48.5246
4638.24	6252.62	-1.91943456	47.0492
4638.24	6252.62	-1.50892992	45.2459
4638.24	6252.62	-0.27747696	46.2295
4638.24	6252.62	1.77498528	44.7541
4638.24	6252.62	1.77498528	44.7541
4638.24	6252.62	2.59596408	38.3607
4638.24	6252.62	3.00643824	37.2131
4638.24	6252.62	4.23792168	36.2295
4638.24	6252.62	5.05890048	34.918
4638.24	6252.62	5.87987928	36.2295
4638.24	6252.62	6.29038392	37.0492
4638.24	6252.62	6.70098	34.918
4638.24	6252.62	8.3429376	33.6066
4638.24	6252.62	8.3429376	33.6066
4638.24	6252.62	9.9848952	27.8689
4638.24	6252.62	11.2162872	26.3934
4638.24	6252.62	12.4476792	24.5902
4638.24	6252.62	12.8582448	22.7869
4638.24	6252.62	16.5527256	22.623
4638.24	6252.62	19.4260752	22.1311
4638.24	6252.62	20.6574672	20.9836
4638.24	6252.62	21.0680328	19.8361
4638.24	6252.62	21.4785984	18.3607
4638.24	6252.62	23.120556	16.2295
4638.24	6252.62	23.9413824	17.0492
4638.24	6252.62	25.58334	18.1967
4638.24	6252.62	25.9939056	19.6721
4638.24	6252.62	27.6358632	20
4638.24	6252.62	28.4566896	20.9836
4638.24	6252.62	30.5092128	22.1311
4638.24	6252.62	30.9197784	18.3607
4638.24	6252.62	31.7406048	20.9836
4638.24	6252.62	33.3825624	21.3115
4638.24	6252.62	33.3825624	21.3115
4638.24	6252.62	34.2036936	19.3443
4638.24	6252.62	35.0248248	18.1967
4638.24	6252.62	37.0770432	18.1967
4638.24	6252.62	38.7190008	19.5082
4638.24	6252.62	40.3609584	20.3279
4638.24	6252.62	41.5926552	19.3443
4638.24	6252.62	42.4134816	17.8689
4638.24	6252.62	42.8240472	16.8852
4638.24	6252.62	45.2868312	16.8852
4638.24	6252.62	47.74992	17.7049
4638.24	6252.62	48.981312	20.8197
4638.24	6252.62	49.8024432	18.1967
4638.24	6252.62	50.212704	19.1803
4638.24	6252.62	50.6232696	18.6885
4638.24	6252.62	52.2652272	18.0328
4638.24	6252.62	54.728316	18.5246
4638.24	6252.62	56.7805344	18.3607
4638.24	6252.62	59.6541888	17.8689
4638.24	6252.62	61.2961464	17.377
4638.24	6252.62	65.400888	17.0492
4638.24	6252.62	66.2220192	17.8689
4638.24	6252.62	67.4534112	19.1803
4638.24	6252.62	67.8639768	23.2787
4638.24	6252.62	67.8639768	23.2787
4638.24	6252.62	68.6848032	26.7213
4638.24	6252.62	68.6848032	26.7213
4638.24	6252.62	69.5059344	28.3607
4638.24	6252.62	69.9161952	29.6721
4638.24	6252.62	70.7373264	31.3115
4638.24	6252.62	71.5581528	29.3443
4638.24	6252.62	71.9687184	25.2459
4638.24	6252.62	71.9687184	25.2459
4638.24	6252.62	72.7898496	20
4638.24	6252.62	73.610676	22.2951
4638.24	6252.62	75.2526336	23.7705
4638.24	6252.62	75.6631992	25.2459
4638.24	6252.62	76.8945912	27.0492
4638.24	6252.62	77.7157224	30
4638.24	6252.62	80.9996376	30.6557
4638.24	6252.62	81.820464	26.8852
4638.24	6252.62	82.6415952	24.5902
4638.24	6252.62	83.051856	22.9508
4638.24	6252.62	85.1043792	20.8197
4638.24	6252.62	86.336076	22.9508
4638.24	6252.62	86.336076	22.9508
4638.24	6252.62	86.7463368	25.082
4638.24	6252.62	87.1569024	26.5574
4638.24	6252.62	89.2094256	27.0492
4638.24	6252.62	90.030252	25.9016
4638.24	6252.62	90.4408176	24.5902
4638.24	6252.62	90.8513832	21.1475
4638.24	6252.62	91.6722096	19.8361
4638.24	6252.62	93.7247328	20
4638.24	6252.62	94.1352984	21.4754
4638.24	6252.62	94.545864	22.2951
4638.24	6252.62	95.3666904	20.1639
4638.24	6252.62	96.5980824	24.2623
4638.24	6252.62	97.008648	22.7869
4638.24	6252.62	97.4192136	26.3934
4638.24	6252.62	101.1136944	21.9672
4638.24	6252.62	101.1136944	21.9672
4638.24	6252.62	103.987044	23.4426
4638.24	6252.62	104.3976096	24.0984
4638.24	6252.62	105.6290016	23.2787
4638.24	6252.62	107.2709592	23.7705
4638.24	6252.62	108.0917856	26.2295
4638.24	6252.62	108.9129168	27.2131
4638.24	6252.62	110.96544	24.7541
4638.24	6252.62	111.3757008	23.1148
4638.24	6252.62	112.6073976	21.6393
4638.24	6252.62	113.428224	20.6557
4638.24	6252.62	115.4807472	20.8197
4638.24	6252.62	117.1227048	20.9836
4638.24	6252.62	118.7646624	20
4638.24	6252.62	119.175228	18.6885
4638.24	6252.62	120.8171856	22.2951
4638.24	6252.62	120.8171856	22.2951
4638.24	6252.62	123.2799696	21.9672
4638.24	6252.62	124.5113616	22.7869
4638.24	6252.62	125.3324928	25.082
4638.24	6252.62	126.9744504	23.6066
4638.24	6252.62	128.2058424	22.459
4638.24	6252.62	129.0269736	17.2131
4638.24	6252.62	129.4372344	19.8361
4638.24	6252.62	130.6689312	15.082
4638.24	6252.62	132.7211496	23.9344
4638.24	6252.62	133.1317152	22.2951
4638.24	6252.62	133.1317152	22.2951
4638.24	6252.62	133.5422808	28.6885
4638.24	6252.62	136.0053696	28.8525
4638.24	6252.62	136.826196	26.8852
4638.24	6252.62	137.6473272	25.7377
4638.24	6252.62	138.057588	25.082
4638.24	6252.62	139.2892848	28.1967
4638.24	6252.62	139.6995456	26.7213
4638.24	6252.62	140.1101112	25.2459
4638.24	6252.62	140.5206768	19.3443
4638.24	6252.62	140.9312424	23.4426
4638.24	6252.62	140.9312424	23.4426
4638.24	6252.62	143.3940264	25.2459
4638.24	6252.62	143.804592	16.2295
4638.24	6252.62	143.804592	16.2295
4638.24	6252.62	144.2151576	28.6885
4638.24	6252.62	144.6254184	22.1311
4638.24	6252.62	145.8571152	29.5082
4638.24	6252.62	147.0885072	24.4262
4638.24	6252.62	147.9093336	22.7869
4638.24	6252.62	150.3724224	23.1148
4638.24	6252.62	151.1932488	22.459
4638.24	6252.62	153.6563376	22.9508
4638.24	6252.62	154.0669032	24.5902
4638.24	6252.62	154.8877296	23.4426
4638.24	6252.62	156.1191216	21.8033
4638.24	6252.62	157.3508184	23.4426
4638.24	6252.62	157.7610792	24.7541
4638.24	6252.62	158.1716448	27.541
4638.24	6252.62	159.4030368	28.5246
4638.24	6252.62	159.4030368	28.5246
4638.24	6252.62	161.45556	28.0328
4638.24	6252.62	162.686952	30
4638.24	6252.62	163.0975176	31.6393
4638.24	6252.62	163.9186488	27.8689
4638.24	6252.62	164.7394752	20.3279
4638.24	6252.62	164.7394752	20.3279
4638.24	6252.62	165.5606064	25.9016
4638.24	6252.62	167.6128248	16.5574
4638.24	6252.62	169.665348	18.1967
4638.24	6252.62	170.0759136	20.6557
4638.24	6252.62	171.3073056	18.5246
4638.24	6252.62	173.3598288	22.2951
4638.24	6252.62	174.5912208	17.7049
4638.24	6252.62	174.5912208	17.7049
4638.24	6252.62	176.643744	26.3934
4638.24	6252.62	177.0543096	21.6393
4638.24	6252.62	177.0543096	21.6393
4638.24	6252.62	177.875136	24.0984
4638.24	6252.62	178.6962672	23.4426
4638.24	6252.62	180.3382248	24.5902
4638.24	6252.62	181.5696168	28.1967
4638.24	6252.62	182.3904432	24.7541
4638.24	6252.62	183.2115744	25.7377
4638.24	6252.62	185.2640976	32.7869
4638.24	6252.62	185.2640976	32.7869
4638.24	6252.62	185.6746632	25.5738
4638.24	6252.62	186.4954896	37.7049
4638.24	6252.62	186.9060552	31.1475
4638.24	6252.62	187.3166208	33.4426
4638.24	6252.62	187.7268816	35.9016
4638.24	6252.62	188.1374472	27.377
4638.24	6252.62	188.9585784	26.2295
4638.24	6252.62	191.0107968	25.9016
4638.24	6252.62	192.6527544	25.2459
4638.24	6252.62	195.1158432	26.8852
4638.24	6252.62	195.5264088	27.8689
4638.24	6252.62	196.3472352	29.3443
4638.24	6252.62	196.7578008	22.623
4638.24	6252.62	196.7578008	22.623
4638.24	6252.62	197.5786272	30
4638.24	6252.62	198.3997584	21.1475
