SBWM-3			
4			
x			
y			
z			
64 inch			
x utm	y utm	z	64 inch
4397.16	5815.44	-1.78028136	50
4397.16	5815.44	2.13856272	50
4397.16	5815.44	6.05743728	50
4397.16	5815.44	8.01684408	50
4397.16	5815.44	11.06639856	45.7746
4397.16	5815.44	11.50701744	41.4085
4397.16	5815.44	12.01758792	34.3662
4397.16	5815.44	12.24112824	38.3099
4397.16	5815.44	13.441644	29.8592
4397.16	5815.44	14.5392288	25.3521
4397.16	5815.44	16.2787224	21.2676
4397.16	5815.44	17.361372	17.3239
4397.16	5815.44	19.0642896	14.6479
4397.16	5815.44	23.3833056	11.831
4397.16	5815.44	28.0068168	9.85915
4397.16	5815.44	34.233576	9.01408
4397.16	5815.44	39.1323216	9.01408
4397.16	5815.44	41.6822784	11.4085
4397.16	5815.44	43.9387128	12.5352
4397.16	5815.44	45.9275328	11.4085
4397.16	5815.44	47.3000472	8.87324
4397.16	5815.44	50.9329584	7.32394
4397.16	5815.44	55.2224088	5.6338
4397.16	5815.44	58.1064264	7.74648
4397.16	5815.44	58.9684008	12.2535
4397.16	5815.44	59.7898368	18.3099
4397.16	5815.44	60.5710392	25.9155
4397.16	5815.44	61.4403288	30.1408
4397.16	5815.44	62.944212	35.0704
4397.16	5815.44	64.1365896	39.4366
4397.16	5815.44	65.003136	31.2676
4397.16	5815.44	65.7962256	25.9155
4397.16	5815.44	66.295488	19.2958
4397.16	5815.44	68.695788	14.9296
4397.16	5815.44	74.1922464	17.0423
4397.16	5815.44	77.688912	20.7042
4397.16	5815.44	81.1413816	26.0563
4397.16	5815.44	83.0271792	28.8732
4397.16	5815.44	85.9368	30
4397.16	5815.44	87.3202872	27.0423
4397.16	5815.44	89.1152544	20.8451
4397.16	5815.44	89.8492128	17.7465
4397.16	5815.44	91.9410552	12.6761
4397.16	5815.44	93.9371904	11.2676
4397.16	5815.44	96.4136904	16.4789
4397.16	5815.44	96.8175504	13.5211
4397.16	5815.44	100.017036	16.0563
4397.16	5815.44	100.0907976	13.2394
4397.16	5815.44	102.1161936	10.7042
4397.16	5815.44	104.0867256	10.2817
4397.16	5815.44	105.6460824	13.0986
4397.16	5815.44	105.712224	10.5634
4397.16	5815.44	106.2367848	15.493
4397.16	5815.44	107.1426504	18.3099
4397.16	5815.44	108.5078496	16.0563
4397.16	5815.44	110.1961368	13.9437
4397.16	5815.44	111.1205952	16.0563
4397.16	5815.44	111.7186128	18.169
4397.16	5815.44	114.4596792	13.2394
4397.16	5815.44	114.8269632	11.6901
4397.16	5815.44	117.0245712	15.0704
4397.16	5815.44	117.7283544	25.6338
4397.16	5815.44	117.812784	22.3944
4397.16	5815.44	117.9197688	18.3099
4397.16	5815.44	119.2654608	29.2958
4397.16	5815.44	122.61948	25.9155
4397.16	5815.44	123.4704816	30.8451
4397.16	5815.44	128.0717424	29.7183
4397.16	5815.44	129.1141584	27.3239
4397.16	5815.44	130.4720424	25.3521
4397.16	5815.44	132.6952536	27.7465
4397.16	5815.44	133.854408	33.3803
4397.16	5815.44	134.2768608	29.7183
4397.16	5815.44	135.7917168	34.2254
4397.16	5815.44	136.6363176	26.9014
4397.16	5815.44	137.3925264	22.9577
4397.16	5815.44	137.528772	17.7465
4397.16	5815.44	139.9101744	14.0845
