SBWM-3			
4			
x			
y			
z			
SP			
x utm	y utm	z	SP
4397.16	5815.44	-4.2423948	3.86322
4397.16	5815.44	-2.610648	1.47731
4397.16	5815.44	-2.59141512	-0.909044
4397.16	5815.44	-2.24510136	-3.86349
4397.16	5815.44	-1.89601392	-7.15885
4397.16	5815.44	1.64506104	-6.3624
4397.16	5815.44	6.8032524	-6.13368
4397.16	5815.44	8.08408296	-4.99696
4397.16	5815.44	11.60775384	-2.04143
4397.16	5815.44	11.90276976	1.36775
4397.16	5815.44	12.828996	6.48164
4397.16	5815.44	14.0777616	11.5956
4397.16	5815.44	16.6761816	9.32363
4397.16	5815.44	17.0187768	6.82373
4397.16	5815.44	17.945064	11.9376
4397.16	5815.44	19.9012704	9.32453
4397.16	5815.44	22.817292	7.62081
4397.16	5815.44	24.777156	4.55317
4397.16	5815.44	27.7007976	1.94036
4397.16	5815.44	29.6502984	0.122722
4397.16	5815.44	32.8973328	-2.60364
4397.16	5815.44	36.1397952	-4.76182
4397.16	5815.44	40.3506072	-7.03337
4397.16	5815.44	42.2994984	-8.73737
4397.16	5815.44	45.8284728	-6.46365
4397.16	5815.44	48.076068	-5.21302
4397.16	5815.44	50.993004	-7.03039
4397.16	5815.44	53.5831944	-8.27966
4397.16	5815.44	54.5798904	-11.9157
4397.16	5815.44	54.9273624	-14.9838
4397.16	5815.44	56.1633264	-8.27894
4397.16	5815.44	56.4675168	-6.00612
4397.16	5815.44	60.9953208	-7.59576
4397.16	5815.44	64.1789568	-2.48124
4397.16	5815.44	66.0909672	0.360209
4397.16	5815.44	69.2877096	3.88383
4397.16	5815.44	71.8437624	6.83909
4397.16	5815.44	75.0414192	10.2491
4397.16	5815.44	77.6130168	11.2725
4397.16	5815.44	81.1715568	9.90989
4397.16	5815.44	85.3732248	8.77471
4397.16	5815.44	86.9850072	8.88879
4397.16	5815.44	89.2450992	8.54852
4397.16	5815.44	90.1768728	12.9806
4397.16	5815.44	90.5222112	10.1398
4397.16	5815.44	91.4585568	14.0037
4397.16	5815.44	93.0959424	10.936
4397.16	5815.44	93.4312224	9.34515
4397.16	5815.44	94.7311944	8.09551
4397.16	5815.44	96.0296424	7.07315
4397.16	5815.44	96.3384048	8.77778
4397.16	5815.44	98.6122128	6.73296
4397.16	5815.44	99.8786568	9.68786
4397.16	5815.44	101.1649128	10.1428
4397.16	5815.44	102.4648848	8.89313
4397.16	5815.44	102.8019936	7.07505
4397.16	5815.44	103.7825352	5.48441
4397.16	5815.44	105.7155768	5.71223
4397.16	5815.44	107.335284	4.80359
4397.16	5815.44	110.5384272	7.53176
4397.16	5815.44	111.8118816	9.57757
4397.16	5815.44	114.0594768	10.8282
4397.16	5815.44	116.3332848	8.78338
4397.16	5815.44	119.2349808	8.89783
4397.16	5815.44	124.0797768	7.9901
4397.16	5815.44	125.3797488	6.74047
4397.16	5815.44	127.645632	5.71837
4397.16	5815.44	129.5896464	4.58255
4397.16	5815.44	132.1770936	3.67419
4397.16	5815.44	134.7544824	4.01582
4397.16	5815.44	136.3741896	3.10718
4397.16	5815.44	139.9272432	2.42636
4397.16	5815.44	142.839912	1.17718
4397.16	5815.44	145.76142	-1.20837
4397.16	5815.44	148.3534392	-2.68491
4397.16	5815.44	151.5895008	-4.04764
4397.16	5815.44	156.7476312	-3.81892
4397.16	5815.44	160.2796536	-1.88612
4397.16	5815.44	163.1600136	0.841965
4397.16	5815.44	165.0906168	1.41069
4397.16	5815.44	167.0190864	2.20668
4397.16	5815.44	171.5304312	2.66249
4397.16	5815.44	174.7710648	0.731583
4397.16	5815.44	178.658484	-1.42642
4397.16	5815.44	182.2234248	-3.58451
4397.16	5815.44	187.700376	-2.90116
4397.16	5815.44	189.9668688	-4.03688
4397.16	5815.44	194.4931488	-5.39925
4397.16	5815.44	198.0349248	-4.71644
4397.16	5815.44	199.6604232	-6.30689
4397.16	5815.44	203.8529472	-6.30572
4397.16	5815.44	206.7589104	-6.75945
4397.16	5815.44	209.0019336	-4.94064
4397.16	5815.44	211.8960096	-3.9171
4397.16	5815.44	213.4949904	-2.21211
4397.16	5815.44	215.1037248	-1.75711
4397.16	5815.44	217.6884288	-2.32457
4397.16	5815.44	219.615984	-1.41494
4397.16	5815.44	222.8429016	-1.6413
4397.16	5815.44	227.3661336	-2.66276
4397.16	5815.44	233.1783648	-3.57023
4397.16	5815.44	235.4433336	-4.47868
4397.16	5815.44	237.708912	-5.50077
4397.16	5815.44	239.3270952	-6.18214
4397.16	5815.44	243.5095608	-4.93097
4397.16	5815.44	246.4210104	-6.06651
4397.16	5815.44	250.2883128	-5.72452
4397.16	5815.44	253.1863512	-5.15553
4397.16	5815.44	255.7725792	-5.95026
4397.16	5815.44	258.3426528	-4.69954
4397.16	5815.44	260.591772	-3.67618
4397.16	5815.44	263.1655032	-2.88
4397.16	5815.44	266.3793144	-1.51546
4397.16	5815.44	267.6622176	-0.606014
4397.16	5815.44	271.5368352	-1.17311
4397.16	5815.44	275.4123672	-1.85384
4397.16	5815.44	276.3715728	-0.830845
4397.16	5815.44	277.9940232	-2.08039
4397.16	5815.44	281.2200264	-2.19312
4397.16	5815.44	285.0827568	-1.28295
4397.16	5815.44	287.3334	-0.259591
4397.16	5815.44	290.561232	-0.713232
4397.16	5815.44	294.093864	0.878668
4397.16	5815.44	296.03544	0.31103
4397.16	5815.44	299.574168	1.33475
4397.16	5815.44	300.869568	0.766931
4397.16	5815.44	303.44208	1.56311
4397.16	5815.44	305.703696	1.22283
4397.16	5815.44	306.679056	0.0867413
4397.16	5815.44	308.931528	0.769191
4397.16	5815.44	310.54392	0.769643
4397.16	5815.44	312.150216	1.45191
4397.16	5815.44	316.658208	2.36227
4397.16	5815.44	320.840064	3.61344
4397.16	5815.44	323.089488	4.52316
4397.16	5815.44	324.369648	5.77352
4397.16	5815.44	325.012776	6.22824
4397.16	5815.44	326.9574	5.09243
4397.16	5815.44	329.209872	5.43397
4397.16	5815.44	333.080832	5.43505
4397.16	5815.44	336.302568	5.77686
4397.16	5815.44	337.911912	6.3455
4397.16	5815.44	340.819704	5.77813
4397.16	5815.44	343.392216	6.46067
4397.16	5815.44	346.306104	4.98421
4397.16	5815.44	348.253776	3.50749
4397.16	5815.44	351.164616	2.71285
4397.16	5815.44	355.687848	1.46412
4397.16	5815.44	358.598688	0.328568
4397.16	5815.44	363.12192	-0.579255
4397.16	5815.44	367.639056	-0.691625
4397.16	5815.44	370.857744	-0.122541
4397.16	5815.44	374.411712	-0.916999
4397.16	5815.44	376.987272	-0.234459
4397.16	5815.44	379.882872	0.561807
4397.16	5815.44	381.809208	1.81235
4397.16	5815.44	383.10156	1.24453
4397.16	5815.44	384.064728	1.92662
4397.16	5815.44	385.680168	1.58616
4397.16	5815.44	389.2128	3.40533
4397.16	5815.44	389.86812	2.04188
4397.16	5815.44	392.117544	3.29251
4397.16	5815.44	395.025336	2.38423
4397.16	5815.44	397.905696	5.33959
4397.16	5815.44	399.847272	4.43104
4397.16	5815.44	402.422832	4.99994
4397.16	5815.44	402.435024	3.2954
