SBWM-3			
4			
x			
y			
z			
single point			
x utm	y utm	z	single point
4397.16	5815.44	-2.8770432	18.1303
4397.16	5815.44	-2.25893928	22.3796
4397.16	5815.44	-1.31262672	25.779
4397.16	5815.44	1.269456	25.779
4397.16	5815.44	3.222462	23.2295
4397.16	5815.44	6.14372616	20.6799
4397.16	5815.44	8.09307456	18.6969
4397.16	5815.44	10.36151808	17.2805
4397.16	5815.44	12.6281328	16.1473
4397.16	5815.44	13.6056264	14.7309
4397.16	5815.44	16.5085416	15.0142
4397.16	5815.44	18.778692	13.3144
4397.16	5815.44	20.3871216	14.1643
4397.16	5815.44	23.946576	12.7479
4397.16	5815.44	27.8196696	12.7479
4397.16	5815.44	31.3718088	12.4646
4397.16	5815.44	33.9540744	12.4646
4397.16	5815.44	38.7988704	11.898
4397.16	5815.44	39.1070232	14.1643
4397.16	5815.44	42.6335592	17.847
4397.16	5815.44	44.5958616	13.881
4397.16	5815.44	46.1911848	16.7139
4397.16	5815.44	48.1443432	14.1643
4397.16	5815.44	50.4126648	12.7479
4397.16	5815.44	52.9857864	14.1643
4397.16	5815.44	54.9148656	15.2975
4397.16	5815.44	56.2169712	13.5977
4397.16	5815.44	57.5209056	11.6147
4397.16	5815.44	60.3872448	17.5637
4397.16	5815.44	61.3299912	21.5297
4397.16	5815.44	65.182968	24.6459
4397.16	5815.44	65.228688	17.5637
4397.16	5815.44	66.8642448	14.1643
4397.16	5815.44	70.7263656	15.864
4397.16	5815.44	77.8233288	16.4306
4397.16	5815.44	81.3535224	19.5467
4397.16	5815.44	83.9175	22.3796
4397.16	5815.44	85.551228	19.2635
4397.16	5815.44	87.156	20.6799
4397.16	5815.44	88.1334936	19.2635
4397.16	5815.44	91.0510392	17.2805
4397.16	5815.44	92.369604	13.0312
4397.16	5815.44	94.5867192	19.5467
4397.16	5815.44	96.8458968	19.5467
4397.16	5815.44	98.7844248	19.2635
4397.16	5815.44	99.4373064	18.1303
4397.16	5815.44	100.7665392	12.1813
4397.16	5815.44	103.3268592	15.5807
4397.16	5815.44	104.2622904	20.6799
4397.16	5815.44	105.8978472	17.2805
4397.16	5815.44	108.098808	26.3456
4397.16	5815.44	109.7471664	20.9632
4397.16	5815.44	112.683	16.1473
4397.16	5815.44	113.350512	12.7479
4397.16	5815.44	114.9443112	15.864
4397.16	5815.44	117.1614264	22.3796
4397.16	5815.44	117.4970112	20.3966
4397.16	5815.44	120.069828	21.813
4397.16	5815.44	122.666724	19.5467
4397.16	5815.44	124.5903168	21.5297
4397.16	5815.44	127.8397896	18.1303
4397.16	5815.44	129.7636872	20.1133
4397.16	5815.44	131.0657928	18.4136
4397.16	5815.44	134.5978152	21.2465
4397.16	5815.44	136.2114264	21.2465
4397.16	5815.44	138.1956744	13.881
4397.16	5815.44	139.4868072	13.881
4397.16	5815.44	139.7891688	16.9972
4397.16	5815.44	141.428688	13.0312
4397.16	5815.44	145.2743496	17.2805
4397.16	5815.44	146.27196	12.7479
4397.16	5815.44	147.8837424	13.0312
4397.16	5815.44	149.473884	16.7139
4397.16	5815.44	150.438576	17.2805
4397.16	5815.44	154.3043544	18.4136
4397.16	5815.44	155.9106504	19.5467
4397.16	5815.44	157.2164136	17.2805
4397.16	5815.44	160.748436	20.1133
4397.16	5815.44	162.6266136	29.1785
4397.16	5815.44	162.6851352	20.1133
4397.16	5815.44	163.5580824	34.8442
4397.16	5815.44	164.8931064	28.0453
4397.16	5815.44	165.2506368	22.6629
4397.16	5815.44	167.2199496	17.5637
4397.16	5815.44	168.830208	18.1303
4397.16	5815.44	171.7477536	16.1473
4397.16	5815.44	171.7751856	11.898
4397.16	5815.44	174.6342096	18.9802
4397.16	5815.44	177.524628	21.2465
4397.16	5815.44	180.113904	20.1133
4397.16	5815.44	182.386188	18.1303
4397.16	5815.44	184.6398792	18.9802
4397.16	5815.44	186.5707872	19.83
4397.16	5815.44	189.4776648	19.5467
4397.16	5815.44	191.415888	19.2635
4397.16	5815.44	193.0316328	18.9802
4397.16	5815.44	195.9491784	16.9972
4397.16	5815.44	197.8712472	19.2635
4397.16	5815.44	200.7705048	20.1133
4397.16	5815.44	203.0315112	19.83
4397.16	5815.44	205.3019664	18.1303
4397.16	5815.44	206.9283792	16.1473
4397.16	5815.44	207.913188	13.5977
4397.16	5815.44	209.85324	13.0312
4397.16	5815.44	210.4878336	14.7309
4397.16	5815.44	211.4378952	17.5637
4397.16	5815.44	212.0596872	21.2465
4397.16	5815.44	213.0207216	22.3796
4397.16	5815.44	215.6008536	22.6629
4397.16	5815.44	216.9175896	18.6969
4397.16	5815.44	216.9450216	14.4476
4397.16	5815.44	219.1950552	15.864
4397.16	5815.44	220.5117912	11.898
