SBWM-4			
4			
x			
y			
z			
single point			
x UTM	y UTM	z	single point
3739.21	4420.8	-14.97000136	24.4323
3739.21	4420.8	-12.39480712	23.5812
3739.21	4420.8	-11.27936104	17.3318
3739.21	4420.8	-11.25266056	20.1727
3739.21	4420.8	-8.72419216	14.35
3739.21	4420.8	-8.19045688	21.1685
3739.21	4420.8	-7.4072428	29.5495
3739.21	4420.8	-7.10969704	36.2258
3739.21	4420.8	-6.35315296	41.766
3739.21	4420.8	-5.82743392	47.7321
3739.21	4420.8	-5.1015832	50.0052
3739.21	4420.8	-4.89876928	46.5962
3739.21	4420.8	-4.71198784	41.4826
3739.21	4420.8	-3.32298376	39.3526
3739.21	4420.8	-2.13280072	41.0578
3739.21	4420.8	-1.44562912	39.2115
3739.21	4420.8	0.87335024	36.0876
3739.21	4420.8	2.01952016	33.1052
3739.21	4420.8	2.92148432	29.1284
3739.21	4420.8	3.58731992	25.0094
3739.21	4420.8	5.2485104	26.8568
3739.21	4420.8	6.39065696	23.4482
3739.21	4420.8	8.481524	21.0344
3739.21	4420.8	9.4276232	21.7451
3739.21	4420.8	12.0001352	20.61
3739.21	4420.8	13.6423976	20.4687
3739.21	4420.8	15.7866656	23.7368
3739.21	4420.8	16.4633216	20.7542
3739.21	4420.8	17.4173456	22.3171
3739.21	4420.8	19.2879032	21.4658
3739.21	4420.8	23.0427344	21.1835
3739.21	4420.8	24.00194	23.3146
3739.21	4420.8	25.1842592	24.1675
3739.21	4420.8	25.8618296	21.3269
3739.21	4420.8	28.2048272	20.7598
3739.21	4420.8	29.6126984	20.6185
3739.21	4420.8	31.0522688	23.8862
3739.21	4420.8	31.5018488	21.7557
3739.21	4420.8	32.6987984	24.1711
3739.21	4420.8	33.4394624	28.0067
3739.21	4420.8	34.6056272	27.1549
3739.21	4420.8	35.0926976	29.0018
3739.21	4420.8	37.411616	25.8779
3739.21	4420.8	37.8544904	23.0372
3739.21	4420.8	39.7652816	26.4472
3739.21	4420.8	41.1356624	22.3285
3739.21	4420.8	43.7374352	24.3184
3739.21	4420.8	46.80098	25.4563
3739.21	4420.8	50.3287352	26.0261
3739.21	4420.8	51.9713024	25.8849
3739.21	4420.8	54.6224528	33.1305
3739.21	4420.8	56.1891248	24.8926
3739.21	4420.8	56.2302728	29.296
3739.21	4420.8	58.0636448	24.4674
3739.21	4420.8	59.9625488	26.5989
3739.21	4420.8	61.1232272	25.1791
3739.21	4420.8	63.0233504	27.4527
3739.21	4420.8	63.9304352	24.044
3739.21	4420.8	64.1413568	21.4873
3739.21	4420.8	65.3608616	26.3175
3739.21	4420.8	65.6263424	29.5846
3739.21	4420.8	65.8771928	31.2893
3739.21	4420.8	66.5617736	29.1589
3739.21	4420.8	66.7605032	25.3238
3739.21	4420.8	67.7200136	27.4549
3739.21	4420.8	68.2244576	31.1484
3739.21	4420.8	68.9608544	34.5578
3739.21	4420.8	71.0557448	32.5702
3739.21	4420.8	71.2986704	33.4226
3739.21	4420.8	71.7467264	31.1501
3739.21	4420.8	72.139004	22.9116
3739.21	4420.8	72.4060088	26.3208
3739.21	4420.8	73.2853568	19.9292
3739.21	4420.8	74.9437736	21.4925
3739.21	4420.8	75.4588856	26.3223
3739.21	4420.8	75.967292	30.4419
3739.21	4420.8	76.9399088	33.9935
3739.21	4420.8	78.120704	34.7043
3739.21	4420.8	78.3489992	33.9941
3739.21	4420.8	78.3688112	36.1248
3739.21	4420.8	79.278944	33.0003
3739.21	4420.8	80.2061456	31.7223
3739.21	4420.8	81.6353528	33.8537
3739.21	4420.8	82.8173672	34.7065
3739.21	4420.8	83.2136072	26.8942
3739.21	4420.8	83.4885368	31.1557
3739.21	4420.8	84.4145192	29.7357
3739.21	4420.8	84.9201824	33.5712
3739.21	4420.8	84.948224	36.5541
3739.21	4420.8	85.9156592	39.5376
3739.21	4420.8	86.3667632	37.5491
3739.21	4420.8	87.0937112	39.9643
3739.21	4420.8	88.2546944	38.5444
3739.21	4420.8	89.4489008	40.6756
3739.21	4420.8	89.6464112	36.6984
3739.21	4420.8	90.0813608	33.0055
3739.21	4420.8	90.7631984	30.591
3739.21	4420.8	91.9439936	31.3018
3739.21	4420.8	92.39906	29.7395
3739.21	4420.8	93.1101584	30.4501
3739.21	4420.8	93.7880336	27.6095
3739.21	4420.8	94.2388328	25.6211
3739.21	4420.8	95.229128	31.0193
3739.21	4420.8	96.3605456	26.4744
3739.21	4420.8	96.6086528	27.895
3739.21	4420.8	98.0643776	32.8673
3739.21	4420.8	98.5246256	31.8732
3739.21	4420.8	99.846848	22.6408
3739.21	4420.8	99.8791568	26.0499
3739.21	4420.8	99.9044552	28.7488
3739.21	4420.8	100.5262472	19.9423
3739.21	4420.8	100.7542376	19.2322
3739.21	4420.8	102.184664	21.5056
3739.21	4420.8	102.408692	20.3693
3739.21	4420.8	103.6190528	24.2052
3739.21	4420.8	104.2929656	20.9384
3739.21	4420.8	105.3201416	30.3139
3739.21	4420.8	106.921256	25.7692
3739.21	4420.8	107.3470616	21.0819
3739.21	4420.8	107.4138128	28.1842
3739.21	4420.8	108.0328616	19.0936
3739.21	4420.8	109.45262	20.2307
3739.21	4420.8	109.9634648	24.6343
3739.21	4420.8	110.2277264	27.7595
3739.21	4420.8	111.3887096	26.3396
3739.21	4420.8	112.110476	28.1865
3739.21	4420.8	114.907016	25.9151
3739.21	4420.8	115.6315256	28.0461
3739.21	4420.8	116.065256	24.2111
3739.21	4420.8	117.5103128	28.0471
3739.21	4420.8	119.4143984	30.7468
3739.21	4420.8	120.8420816	32.7362
3739.21	4420.8	123.4533032	35.7204
3739.21	4420.8	125.1318368	39.4144
3739.21	4420.8	125.799044	35.4374
3739.21	4420.8	126.484844	33.4491
3739.21	4420.8	127.4400872	35.1541
3739.21	4420.8	129.304244	33.5925
3739.21	4420.8	129.689816	24.6438
3739.21	4420.8	129.7404128	30.0416
3739.21	4420.8	130.0193048	34.7292
3739.21	4420.8	130.1220224	20.6667
3739.21	4420.8	131.5030712	17.6845
3739.21	4420.8	132.5049488	24.3611
3739.21	4420.8	132.7625048	26.776
3739.21	4420.8	132.775916	28.1964
3739.21	4420.8	132.926792	19.2476
3739.21	4420.8	133.0002488	27.0602
3739.21	4420.8	133.7232344	29.0492
3739.21	4420.8	134.9189648	31.3225
3739.21	4420.8	135.851348	30.6127
3739.21	4420.8	138.6896456	32.7447
3739.21	4420.8	138.9164168	31.8926
3739.21	4420.8	140.353244	34.8762
3739.21	4420.8	142.6843544	33.0307
3739.21	4420.8	143.3942336	33.5993
3739.21	4420.8	144.0788144	31.4689
3739.21	4420.8	145.0047968	30.0489
3739.21	4420.8	146.1935168	31.612
3739.21	4420.8	147.116756	29.9079
3739.21	4420.8	148.0430432	28.4879
3739.21	4420.8	149.7133472	31.3296
3739.21	4420.8	151.1105504	30.0518
3739.21	4420.8	151.5909152	31.1884
3739.21	4420.8	152.5114112	29.2002
3739.21	4420.8	153.913796	28.4907
3739.21	4420.8	154.8745256	30.7639
3739.21	4420.8	156.067208	32.7531
3739.21	4420.8	157.0187936	34.0319
3739.21	4420.8	157.0358624	35.8785
3739.21	4420.8	157.2827504	37.1571
3739.21	4420.8	158.671724	35.0271
3739.21	4420.8	160.2996608	33.3233
3739.21	4420.8	160.762652	32.6133
3739.21	4420.8	161.2390544	33.3237
3739.21	4420.8	162.8682104	31.762
3739.21	4420.8	163.560716	30.4839
3739.21	4420.8	164.0371184	31.1944
3739.21	4420.8	164.2504784	28.9218
3739.21	4420.8	165.639452	26.7918
3739.21	4420.8	166.7897672	24.2355
3739.21	4420.8	167.7102632	22.2473
3739.21	4420.8	168.394844	20.117
3739.21	4420.8	169.5704576	20.2596
3739.21	4420.8	169.831976	23.1006
3739.21	4420.8	170.560448	25.6578
3739.21	4420.8	170.592452	29.0669
3739.21	4420.8	171.5796992	34.181
3739.21	4420.8	172.0853624	38.0165
3739.21	4420.8	172.8019472	39.2952
3739.21	4420.8	173.68922	33.7559
3739.21	4420.8	175.3570856	36.3135
3739.21	4420.8	176.5165448	34.7515
3739.21	4420.8	177.4385648	32.9054
3739.21	4420.8	177.6107768	26.2293
3739.21	4420.8	178.0591376	23.9568
3739.21	4420.8	178.1258888	31.0591
3739.21	4420.8	178.7248208	19.8378
3739.21	4420.8	179.1811064	18.4176
3739.21	4420.8	181.5216656	17.5664
3739.21	4420.8	182.693012	17.2829
3739.21	4420.8	183.8872184	19.4142
3739.21	4420.8	185.5096688	17.1422
3739.21	4420.8	185.533748	19.6991
3739.21	4420.8	186.2049176	16.1482
3739.21	4420.8	188.084924	16.2912
3739.21	4420.8	189.960968	16.008
3739.21	4420.8	193.0364	18.4242
3739.21	4420.8	194.2427984	21.8339
3739.21	4420.8	194.281508	25.9533
3739.21	4420.8	195.964004	30.0734
3739.21	4420.8	197.6477192	34.3356
3739.21	4420.8	197.88272	34.3357
3739.21	4420.8	198.14942	37.7449
3739.21	4420.8	198.1734992	40.3017
3739.21	4420.8	199.3463696	40.1602
3739.21	4420.8	200.325692	44.4221
3739.21	4420.8	201.2236328	40.0191
3739.21	4420.8	201.2330816	41.0134
3739.21	4420.8	201.4238864	36.326
3739.21	4420.8	201.8762096	34.4796
3739.21	4420.8	202.8034112	33.2017
3739.21	4420.8	203.2917008	35.1905
3739.21	4420.8	206.0751344	31.4987
3739.21	4420.8	207.989888	35.3348
3739.21	4420.8	210.080816	32.9211
3739.21	4420.8	211.0253912	33.4897
3739.21	4420.8	211.5002696	34.0581
3739.21	4420.8	212.427776	32.7802
3739.21	4420.8	214.5546704	34.2016
3739.21	4420.8	215.247176	32.9236
3739.21	4420.8	217.6166912	35.1974
3739.21	4420.8	217.6355888	37.1861
3739.21	4420.8	218.3159024	34.6296
3739.21	4420.8	219.4820672	33.7779
3739.21	4420.8	221.8439624	35.1995
3739.21	4420.8	223.0140896	34.7739
3739.21	4420.8	224.1909224	35.0585
3739.21	4420.8	225.5917832	34.2069
3739.21	4420.8	225.8027048	31.6502
3739.21	4420.8	226.9609448	29.9462
3739.21	4420.8	228.3910664	32.2196
3739.21	4420.8	229.1036888	33.0723
3739.21	4420.8	229.5639368	32.0782
3739.21	4420.8	230.9651024	31.2266
3739.21	4420.8	231.6841256	32.7894
3739.21	4420.8	234.015236	30.9439
3739.21	4420.8	235.194812	31.5127
3739.21	4420.8	236.1314624	31.229
3739.21	4420.8	237.3110384	31.7978
3739.21	4420.8	238.9694552	33.3611
3739.21	4420.8	240.1328768	32.2253
3739.21	4420.8	240.8293448	31.3733
3739.21	4420.8	241.0497152	29.811
3739.21	4420.8	241.5127064	29.1009
3739.21	4420.8	243.649964	31.6588
3739.21	4420.8	243.9008144	33.3635
3739.21	4420.8	244.6228856	35.2104
3739.21	4420.8	245.3178296	34.2164
3739.21	4420.8	247.444724	35.6379
3739.21	4420.8	248.613632	35.0703
3739.21	4420.8	249.3353984	36.9172
3739.21	4420.8	250.4402984	29.5314
3739.21	4420.8	250.4710832	32.7984
3739.21	4420.8	250.7204096	34.3611
3739.21	4420.8	251.3595752	27.4011
3739.21	4420.8	253.490432	29.2487
3739.21	4420.8	253.9787216	31.2376
3739.21	4420.8	254.2323152	33.2264
3739.21	4420.8	255.9081056	36.6363
3739.21	4420.8	256.8621296	38.1992
3739.21	4420.8	257.5293368	34.2223
3739.21	4420.8	257.757632	33.5122
3739.21	4420.8	258.9597632	36.4957
3739.21	4420.8	259.8631904	32.6609
3739.21	4420.8	260.3246576	31.8088
3739.21	4420.8	260.5422848	29.9624
3739.21	4420.8	261.4402256	25.5594
3739.21	4420.8	263.0587136	22.8613
3739.21	4420.8	264.0099944	24.1402
3739.21	4420.8	265.1654912	22.1521
3739.21	4420.8	267.0470216	22.4371
3739.21	4420.8	268.6639856	19.5969
3739.21	4420.8	269.8636784	22.2964
3739.21	4420.8	269.89172	25.2794
3739.21	4420.8	270.0931928	21.7283
3739.21	4420.8	270.8829296	30.8196
3739.21	4420.8	272.2252688	23.718
3739.21	4420.8	274.3146728	21.1622
3739.21	4420.8	274.5441872	20.5941
3739.21	4420.8	275.9438288	19.6004
