DEPT,RILM,RILD,GR,SP,FRES,TMP
F,,,,,OHMM,DEGF
40.0,0.48611,0.48611,52.479,-9.5822,nan,nan
40.5,0.48611,0.48983,49.073,-9.5822,nan,nan
41.0,0.48602,0.49771,44.886,-9.5803,nan,nan
41.5,0.48611,0.50712,44.082,-9.5822,nan,nan
42.0,0.48611,0.51643,46.852,-9.5822,nan,nan
42.5,0.48611,0.52574,49.621,-9.5822,nan,nan
43.0,0.48611,0.53505,50.876,-9.5822,nan,nan
43.5,0.48611,0.54436,47.327,-9.5822,nan,nan
44.0,0.48611,0.55367,43.278,-9.5822,nan,nan
44.5,0.48611,0.56298,39.226,-9.5822,nan,nan
45.0,0.48611,0.57229,35.176,-9.5883,nan,nan
45.5,0.48611,0.5816,31.929,-9.6298,nan,nan
46.0,0.48611,0.59091,31.577,-5.7253,nan,nan
46.5,0.48611,0.60022,33.489,2.6831,nan,nan
47.0,0.48611,0.60953,34.204,11.026,nan,nan
47.5,0.48611,0.61884,34.147,27.854,nan,nan
48.0,0.48611,0.62815,33.175,38.89,nan,nan
48.5,0.48611,0.63746,32.965,20.003,nan,nan
49.0,0.48611,0.64677,35.087,-2.0282,nan,nan
49.5,0.48611,0.65608,37.868,-9.3726,nan,nan
50.0,0.48611,0.66539,38.603,-9.3507,5.683,62.765
50.5,0.48611,0.6747,35.487,-9.3758,5.685,62.687
51.0,0.48611,0.68401,32.363,-9.4094,5.687,62.609
51.5,0.48611,0.69332,31.251,-9.443,5.689,62.53
52.0,0.48611,0.70263,33.49,-9.4766,5.691,62.464
52.5,0.48611,0.71193,35.079,-9.5102,5.696,62.443
53.0,0.48611,0.72124,35.903,-9.5541,5.703,62.422
53.5,0.48611,0.73055,35.826,-9.6859,5.71,62.401
54.0,0.48611,0.73986,35.56,-3.3231,5.717,62.38
54.5,0.48611,0.74917,34.368,13.61,5.724,62.359
55.0,0.48611,0.75848,35.401,38.532,5.732,62.338
55.5,0.48611,0.76779,35.739,53.796,5.739,62.316
56.0,0.48611,0.7771,34.815,62.321,5.746,62.295
56.5,0.48611,0.78641,30.519,68.501,5.753,62.274
57.0,0.48611,0.79572,26.838,73.838,5.76,62.275
57.5,0.48611,0.80503,26.747,75.72,5.767,62.276
58.0,0.48611,0.81434,28.568,73.357,5.775,62.278
58.5,0.48611,0.82365,32.234,71.032,5.782,62.28
59.0,0.48611,0.83296,35.993,68.697,5.789,62.281
59.5,0.48611,0.84227,39.344,65.661,5.796,62.283
60.0,0.48611,0.85158,40.538,64.748,5.803,62.284
60.5,0.48611,0.86089,38.334,62.851,5.81,62.286
61.0,0.48611,0.8702,36.0,57.932,5.818,62.288
61.5,0.48611,0.87951,34.256,38.093,5.825,62.289
62.0,0.48611,0.88882,34.713,0.12147,5.832,62.292
62.5,0.48611,0.89828,37.328,-9.5553,5.839,62.314
63.0,0.48611,0.95788,39.92,-9.5143,5.846,62.335
63.5,0.48611,1.0673,41.796,-9.489,5.854,62.356
64.0,0.48611,1.1741,42.027,-9.4554,5.861,62.368
64.5,0.48611,0.90092,40.357,-9.4217,5.868,62.373
65.0,0.48611,0.61343,39.775,-9.3881,5.875,62.377
65.5,0.48611,0.32612,39.774,-9.3492,5.882,62.382
66.0,0.48611,0.07871,43.547,-10.134,5.889,62.387
66.5,0.48509,0.21989,51.663,12.211,5.897,62.391
67.0,0.47336,0.35701,56.457,56.44,5.904,62.393
67.5,1.1733,0.49701,58.531,74.653,5.911,62.393
68.0,4.0832,0.95764,56.747,82.364,5.918,62.393
68.5,15.393,2.6152,54.985,85.416,5.925,62.393
69.0,26.08,11.99,54.422,87.0,5.932,62.393
69.5,30.377,21.53,54.177,88.455,5.94,62.393
70.0,31.962,25.692,52.514,87.907,5.947,62.391
70.5,32.307,25.947,49.689,87.359,5.954,62.388
71.0,31.204,25.855,49.275,85.697,5.96,62.385
71.5,30.625,25.804,52.68,83.944,5.967,62.383
72.0,30.794,25.658,56.739,82.192,5.974,62.38
72.5,31.577,25.239,58.972,81.071,5.98,62.377
73.0,30.77,24.822,59.34,80.379,5.987,62.375
73.5,29.735,24.442,61.183,80.39,5.993,62.372
74.0,29.764,24.582,63.561,80.628,6.0,62.369
74.5,30.994,24.919,64.187,81.276,6.007,62.367
75.0,32.926,25.66,64.173,81.752,6.013,62.364
75.5,34.789,26.618,62.935,81.625,6.032,62.361
76.0,35.404,27.601,56.893,81.499,6.087,62.359
76.5,35.219,28.925,50.81,81.374,6.144,62.351
77.0,36.243,30.603,51.793,81.249,6.265,62.269
77.5,39.178,32.516,55.64,81.123,6.403,62.188
78.0,43.036,34.325,57.54,81.0,6.541,62.106
78.5,43.952,34.789,55.431,81.041,6.679,62.025
79.0,40.167,35.116,53.337,81.203,6.817,61.944
79.5,35.639,35.019,51.632,81.363,6.955,61.862
80.0,31.147,34.062,50.719,81.473,7.093,61.781
80.5,26.225,31.26,52.612,81.117,7.231,61.699
81.0,22.585,28.126,57.406,77.051,7.335,61.618
81.5,19.126,25.586,59.825,70.016,7.429,61.536
82.0,18.708,23.99,59.994,62.975,7.484,61.502
82.5,19.745,23.818,59.882,55.997,7.502,61.474
83.0,21.831,24.428,55.88,51.799,7.521,61.468
83.5,24.101,24.919,51.951,47.951,7.54,61.462
