DEPT,RILD,RILM,GR,SP,FRES,TMP
F,,,,,OHM-M,DEGF
0.0,5.0831,5.3047,82.293,-136.96,nan,nan
0.5,6.3173,7.2741,81.464,-136.96,nan,nan
1.0,8.3176,12.677,75.406,-136.96,nan,nan
1.5,12.387,20.605,71.146,-136.96,nan,nan
2.0,16.438,22.232,67.917,-136.96,nan,nan
2.5,20.582,23.802,71.549,-136.96,nan,nan
3.0,24.344,25.24,80.427,-136.96,nan,nan
3.5,26.336,26.056,76.749,-136.96,nan,nan
4.0,28.099,26.875,69.065,-136.96,nan,nan
4.5,29.87,27.698,64.501,-136.96,nan,nan
5.0,31.171,29.168,63.102,-136.96,nan,nan
5.5,32.133,30.069,63.478,-136.96,nan,nan
6.0,33.099,30.744,66.512,-136.96,nan,nan
6.5,34.066,30.138,66.771,-136.96,nan,nan
7.0,34.839,30.069,65.834,-136.96,nan,nan
7.5,35.46,30.077,65.307,-136.96,nan,nan
8.0,36.075,31.126,64.996,-136.96,nan,nan
8.5,37.065,32.23,68.771,-136.96,nan,nan
9.0,38.346,33.303,72.111,-136.96,nan,nan
9.5,39.326,33.657,70.712,-136.96,nan,nan
10.0,40.238,34.434,69.048,-136.96,nan,nan
10.5,38.76,34.388,66.305,-136.97,nan,nan
11.0,34.859,34.689,64.179,-130.71,nan,nan
11.5,30.683,35.059,59.263,-36.067,nan,nan
12.0,27.924,34.212,47.308,34.419,nan,nan
12.5,25.162,32.123,32.675,41.78,nan,nan
13.0,22.545,31.186,22.812,40.943,nan,nan
13.5,22.252,30.63,15.99,40.153,nan,nan
14.0,21.874,29.187,17.089,39.367,nan,nan
14.5,21.497,27.693,26.032,38.583,nan,nan
15.0,21.131,25.987,29.804,35.971,nan,nan
15.5,21.191,21.309,35.881,33.551,nan,nan
16.0,10.842,10.184,43.876,30.808,nan,nan
16.5,6.4853,1.9938,50.249,29.784,nan,nan
17.0,4.0917,1.0599,54.155,29.453,nan,nan
17.5,3.2603,0.84803,54.609,31.4,nan,nan
18.0,3.3841,1.0103,53.83,35.301,nan,nan
18.5,3.8768,2.3443,55.266,37.723,nan,nan
19.0,6.1815,20.11,55.415,37.531,nan,nan
19.5,11.219,34.412,55.752,34.017,nan,nan
20.0,28.571,44.13,57.673,30.51,23.887,58.548
20.5,49.446,44.988,59.315,28.514,23.803,58.55
21.0,52.692,46.655,57.383,26.999,23.718,58.553
21.5,53.455,47.953,56.068,25.677,23.634,58.555
22.0,54.327,47.577,54.528,24.38,23.558,58.557
22.5,56.398,46.873,51.049,23.933,23.564,58.56
23.0,58.473,45.267,50.346,22.832,23.569,58.562
23.5,60.506,44.099,54.43,23.093,23.574,58.565
24.0,60.523,44.33,58.641,23.52,23.579,58.567
24.5,60.573,44.334,58.754,24.184,23.585,58.569
25.0,57.103,42.678,57.107,26.809,23.59,58.572
25.5,53.175,41.036,55.603,28.353,23.595,58.574
26.0,49.709,38.831,56.963,29.204,23.6,58.577
26.5,48.366,36.593,57.766,29.699,23.605,58.579
27.0,48.805,35.534,55.499,30.143,23.611,58.581
27.5,49.424,34.644,52.66,30.586,23.616,58.584
28.0,48.626,33.745,51.949,31.152,23.621,58.586
28.5,46.814,32.547,52.426,30.762,23.626,58.589
29.0,45.0,31.315,52.3,30.418,23.631,58.591
29.5,43.688,31.129,52.199,30.062,23.621,58.593
30.0,44.42,31.839,53.969,29.706,23.573,58.596
30.5,45.469,32.461,56.598,29.348,23.525,58.598
31.0,46.87,33.083,57.083,28.977,23.478,58.6
31.5,48.148,33.704,55.906,29.197,23.43,58.603
32.0,48.999,34.519,54.089,28.613,23.382,58.605
32.5,49.727,34.314,52.988,28.133,23.334,58.608
33.0,49.626,33.918,54.897,27.818,23.238,58.61
33.5,49.536,33.514,58.352,27.882,23.091,58.612
34.0,49.41,33.052,62.163,28.248,22.945,58.615
34.5,47.675,32.586,61.367,28.612,22.798,58.617
35.0,45.933,32.119,56.617,28.64,22.652,58.62
35.5,44.192,31.691,52.185,28.36,22.505,58.622
36.0,43.798,31.329,50.801,28.993,22.358,58.624
36.5,44.06,30.968,55.148,29.882,22.212,58.627
37.0,45.832,30.608,58.234,29.362,22.024,58.629
37.5,47.561,30.337,55.129,26.608,21.685,58.632
38.0,48.059,30.443,53.445,23.841,21.346,58.634
38.5,48.549,30.547,53.628,21.659,21.007,58.636
39.0,50.259,30.65,54.021,21.343,20.667,58.639
39.5,52.33,30.752,54.42,19.72,20.41,58.641
40.0,54.395,30.984,54.158,18.39,20.289,58.644
40.5,54.748,31.409,53.14,17.51,20.056,58.646
41.0,54.871,31.835,54.716,16.803,19.908,58.648
41.5,53.756,32.261,57.095,16.594,19.887,58.651
42.0,52.824,32.783,55.262,19.993,19.866,58.653
42.5,52.057,32.502,52.006,23.49,19.846,58.656
43.0,50.659,32.063,49.134,24.698,19.825,58.658
43.5,49.262,31.47,48.622,23.548,19.804,58.66
44.0,47.865,30.682,51.431,15.82,19.784,58.663
44.5,46.468,29.891,54.509,8.8737,19.763,58.665
45.0,45.03,29.094,56.021,2.6223,19.703,58.667
45.5,43.736,29.199,53.601,-3.6429,19.536,58.67
46.0,42.608,29.413,52.721,-10.858,19.368,58.672
46.5,43.382,30.473,53.827,-20.798,19.201,58.675
47.0,44.104,31.532,52.789,-31.495,19.033,58.677
47.5,44.824,32.59,47.868,-41.949,18.865,58.679
48.0,45.25,33.648,45.606,-50.585,18.698,58.682
48.5,45.148,34.58,51.762,-57.571,18.53,58.684
49.0,45.042,34.659,60.299,-63.15,18.519,58.687
49.5,44.935,34.75,64.766,-64.784,18.519,58.689
50.0,44.829,34.504,60.756,-66.501,18.519,58.691
50.5,44.684,33.61,55.897,-68.224,18.519,58.695
51.0,44.243,32.712,54.568,-69.008,18.519,58.699
51.5,43.662,31.864,54.419,-68.992,18.519,58.704
52.0,43.886,32.582,57.513,-69.398,18.519,58.708
52.5,44.326,32.317,61.919,-66.769,18.519,58.713
53.0,44.681,31.664,61.254,-63.08,18.519,58.717
53.5,44.339,30.703,57.062,-59.423,18.504,58.722
54.0,43.96,29.767,56.03,-56.337,18.459,58.726
54.5,43.51,28.831,55.963,-52.71,18.415,58.731
55.0,42.468,27.972,52.423,-51.139,18.37,58.735
55.5,40.947,27.206,49.572,-47.324,18.325,58.74
56.0,39.3,26.437,49.994,-43.646,18.28,58.745
56.5,37.653,25.668,52.705,-40.08,18.235,58.749
57.0,36.005,24.899,51.046,-36.51,18.191,58.754
57.5,34.785,24.693,46.138,-34.425,18.146,58.758
58.0,34.979,24.54,45.358,-33.793,18.101,58.763
58.5,33.631,24.386,47.036,-33.159,18.056,58.767
59.0,32.873,24.233,48.493,-32.524,18.012,58.772
59.5,33.257,24.08,49.416,-31.976,17.967,58.776
60.0,33.632,23.926,51.024,-30.501,17.922,58.781
60.5,32.872,23.773,52.847,-28.096,17.877,58.786
61.0,32.008,23.619,55.223,-28.12,17.833,58.79
61.5,31.144,23.465,54.701,-28.103,17.788,58.795
62.0,30.28,23.304,52.049,-27.335,17.743,58.799
62.5,29.449,23.076,52.759,-26.001,17.698,58.804
63.0,29.028,22.852,57.776,-22.798,17.654,58.808
63.5,28.6,22.623,61.193,-22.438,17.609,58.813
64.0,28.166,22.785,59.313,-22.16,17.566,58.817
64.5,28.679,23.066,55.876,-21.53,17.535,58.822
65.0,28.497,23.331,57.422,-20.428,17.504,58.827
65.5,28.967,23.147,59.679,-19.292,17.472,58.831
66.0,30.542,22.958,56.985,-18.156,17.441,58.836
66.5,32.122,22.94,51.929,-18.311,17.41,58.84
67.0,33.014,23.215,51.636,-19.621,17.379,58.845
67.5,33.346,23.491,55.934,-20.825,17.348,58.849
68.0,33.68,23.769,59.638,-21.923,17.317,58.854
68.5,34.01,23.797,63.681,-21.823,17.286,58.858
69.0,34.794,23.743,68.168,-19.995,17.255,58.863
69.5,36.17,23.69,75.568,-21.232,17.113,58.867
70.0,37.552,23.636,82.106,-22.796,16.749,58.872
70.5,38.392,23.583,82.025,-24.247,16.385,58.877
71.0,38.886,23.53,82.589,-23.754,16.022,58.881
71.5,39.385,23.476,85.092,-23.279,15.658,58.886
72.0,39.234,23.423,82.932,-21.546,15.376,58.89
72.5,38.937,23.371,76.795,-22.473,15.318,58.895
73.0,38.641,23.161,73.452,-21.604,15.261,58.899
73.5,38.345,22.734,72.002,-20.936,15.236,58.904
74.0,38.102,22.697,70.483,-19.934,15.277,58.908
74.5,38.245,22.861,70.878,-18.272,15.317,58.913
75.0,38.384,23.024,71.922,-16.739,15.357,58.918
75.5,38.523,23.351,70.813,-15.389,15.397,58.922
76.0,38.698,23.794,73.41,-15.606,15.437,58.927
76.5,39.164,24.002,79.782,-17.234,15.477,58.931
77.0,39.626,23.759,81.68,-21.161,15.517,58.936
77.5,40.275,23.513,75.381,-21.137,15.557,58.94
78.0,39.731,23.268,69.082,-19.359,15.598,58.945
78.5,38.629,23.022,65.449,-17.865,15.638,58.949
79.0,37.376,22.678,67.3,-16.877,15.678,58.954
79.5,35.67,22.318,68.852,-15.898,15.718,58.958
80.0,33.967,22.271,65.874,-14.823,15.726,58.963
80.5,32.261,22.223,64.462,-13.094,15.726,58.968
81.0,31.464,22.175,66.474,-11.76,15.726,58.972
81.5,31.518,22.127,67.375,-12.545,15.726,58.977
82.0,31.571,22.23,68.941,-13.126,15.726,58.981
82.5,31.623,22.791,76.321,-12.494,15.589,58.986
83.0,31.673,22.925,81.733,-11.878,15.452,58.99
83.5,31.551,23.018,76.829,-11.554,15.315,58.995
84.0,30.433,22.999,68.295,-11.001,15.178,58.999
84.5,29.33,22.625,65.496,-10.429,15.041,59.004
85.0,27.197,22.252,63.835,-10.135,14.904,59.009
85.5,24.449,21.634,65.579,-9.0402,14.767,59.013
86.0,21.707,20.777,67.849,-8.0699,14.63,59.018
