DEPT,RILD,RILM,GR,FRES,TMP
F,,,,OHMM,DEGF
0.0,0.51389,0.29167,81.185,nan,nan
0.5,0.51509,0.31862,86.52,nan,nan
1.0,0.51807,0.31657,88.094,nan,nan
1.5,0.52106,0.31452,87.374,nan,nan
2.0,0.52404,0.31248,88.988,nan,nan
2.5,0.52603,0.31108,90.338,nan,nan
3.0,0.52902,0.30906,91.15,nan,nan
3.5,0.532,0.30702,91.58,nan,nan
4.0,0.53499,0.30497,89.251,nan,nan
4.5,0.53799,0.30292,86.663,nan,nan
5.0,0.54099,0.30087,84.797,nan,nan
5.5,0.54165,0.29882,84.759,nan,nan
6.0,0.54167,0.29677,89.61,nan,nan
6.5,0.54167,0.29472,97.704,nan,nan
7.0,0.54167,0.29265,103.46,nan,nan
7.5,0.54168,0.29164,106.66,nan,nan
8.0,0.54208,0.29166,98.76,nan,nan
8.5,0.54445,0.29166,89.386,nan,nan
9.0,0.54683,0.29166,89.697,nan,nan
9.5,0.5492,0.29167,94.857,nan,nan
10.0,0.55158,0.29167,101.82,nan,nan
10.5,0.55395,0.29167,104.08,nan,nan
11.0,0.55633,0.29167,92.025,nan,nan
11.5,0.5587,0.29167,83.44,nan,nan
12.0,0.56108,0.29167,85.767,nan,nan
12.5,0.56345,0.29167,89.933,nan,nan
13.0,0.56584,0.29167,94.04,nan,nan
13.5,0.56824,0.29167,95.011,nan,nan
14.0,0.56952,0.29167,95.32,nan,nan
14.5,0.56947,0.29167,89.548,nan,nan
15.0,0.56933,0.29167,80.631,nan,nan
15.5,0.56355,0.29167,73.228,nan,nan
16.0,0.54082,0.29167,72.715,nan,nan
16.5,0.5182,0.29167,76.613,nan,nan
17.0,0.49509,0.29167,80.788,nan,nan
17.5,0.48084,0.29167,83.464,nan,nan
18.0,0.47085,0.29167,82.86,nan,nan
18.5,0.46103,0.29167,82.851,nan,nan
19.0,0.45124,0.29167,83.966,nan,nan
19.5,0.44146,0.29167,86.041,nan,nan
20.0,0.4317,0.29167,97.293,nan,nan
20.5,0.42197,0.29167,102.36,nan,nan
21.0,0.41229,0.29167,99.73,nan,nan
21.5,0.4041,0.29167,89.205,nan,nan
22.0,0.43025,0.29167,77.8,nan,nan
22.5,0.45632,0.29167,68.926,nan,nan
23.0,0.4824,0.29167,66.445,nan,nan
23.5,0.50854,0.29167,63.621,nan,nan
24.0,0.53474,0.29167,62.043,nan,nan
24.5,0.56113,0.29167,60.438,nan,nan
25.0,0.57703,0.29167,56.912,nan,nan
25.5,0.58857,0.29167,51.407,nan,nan
26.0,0.59752,0.29167,51.012,4.711,65.481
26.5,0.60474,0.29167,53.229,4.709,65.454
27.0,0.62086,0.29167,58.347,4.688,65.427
27.5,0.63692,0.29167,63.483,4.637,65.415
28.0,0.65299,0.29167,66.226,4.587,65.433
28.5,0.66904,0.29167,65.576,4.515,65.45
29.0,0.68511,0.29167,61.063,4.418,65.468
29.5,0.70123,0.29167,59.242,4.321,65.49
30.0,0.73122,0.29167,63.586,4.225,65.516
30.5,0.77316,0.29167,67.031,4.128,65.542
31.0,0.81707,0.29167,68.387,4.031,65.535
31.5,0.8123,0.29167,65.329,3.935,65.518
32.0,0.80513,0.29167,65.057,3.902,65.501
32.5,0.79799,0.29167,67.282,3.902,65.485
33.0,0.79855,0.29167,66.872,3.875,65.468
33.5,0.83752,0.29167,63.032,3.771,65.451
34.0,0.87672,0.29167,58.815,3.668,65.435
34.5,0.91587,0.29167,58.559,3.565,65.418
35.0,0.95652,0.29167,58.403,3.474,65.401
35.5,0.96197,0.29167,48.884,3.469,65.385
36.0,0.96635,0.29167,45.371,3.465,65.376
36.5,0.97066,0.29167,45.076,3.46,65.369
37.0,0.97494,0.29167,49.867,3.455,65.362
37.5,0.97917,0.29167,52.633,3.431,65.356
38.0,0.9834,0.29167,54.136,3.385,65.349
38.5,0.98764,0.29167,48.969,3.339,65.342
39.0,0.99187,0.29167,47.634,3.293,65.323
39.5,0.9961,0.29167,49.259,3.247,65.292
40.0,1.0003,0.29167,50.95,3.201,65.261
40.5,1.0046,0.29167,52.146,3.155,65.229
41.0,1.0088,0.29167,55.26,3.127,65.198
41.5,1.013,0.29167,62.934,3.115,65.167
42.0,1.0173,0.29167,71.73,3.104,65.136
42.5,1.0215,0.29167,73.869,3.093,65.105
43.0,1.0258,0.29167,73.527,3.081,65.086
43.5,1.0301,0.29167,70.096,3.07,65.069
44.0,1.0342,0.29167,65.99,3.058,65.051
44.5,1.0379,0.29167,62.129,3.048,65.034
45.0,1.0217,0.29167,58.902,3.045,65.016
45.5,0.93257,0.29167,58.64,3.042,64.999
46.0,0.8437,0.29167,57.615,3.038,64.981
46.5,0.75522,0.29167,52.281,3.035,64.964
47.0,0.72824,0.29167,49.765,3.032,64.946
47.5,0.7175,0.29167,50.783,3.028,64.934
48.0,0.707,0.29167,51.767,3.025,64.934
48.5,0.69659,0.29167,51.853,3.022,64.934
49.0,0.68621,0.29167,54.273,3.018,64.934
49.5,0.6758,0.29167,58.537,3.015,64.934
50.0,0.66537,0.29167,62.796,3.012,64.934
50.5,0.65494,0.29167,67.058,3.009,64.934
51.0,0.64443,0.29167,71.314,3.005,64.934
51.5,0.63394,0.29167,74.974,3.002,64.934
